iter	RMSE
0	2.942939663
1	2.783813688
2	2.681157369
3	2.58569555
4	2.515502653
5	2.461583779
6	2.422644138
7	2.398017035
8	2.356515689
9	2.332204387
10	2.302698393
11	2.272364214
12	2.241846651
13	2.219137345
14	2.201132453
15	2.190126557
16	2.174776315
17	2.155314397
18	2.146522775
19	2.140310408
20	2.132716596
21	2.121022218
22	2.109997113
23	2.10327794
24	2.096504052
25	2.087949977
26	2.082143583
27	2.079196044
28	2.067688547
29	2.059880034
30	2.053257339
31	2.04876354
32	2.039551291
33	2.028454533
34	2.026540146
35	2.024490077
36	2.019814284
37	2.018991949
38	2.016605326
39	2.012457003
40	2.006165847
41	2.001713132
42	1.998330741
43	1.993390753
44	1.991734993
45	1.990176542
46	1.983271713
47	1.981878312
48	1.968140329
49	1.966803342
50	1.961853299
51	1.950837293
52	1.945196427
53	1.943363661
54	1.941679519
55	1.940802158
56	1.939890938
57	1.939104944
58	1.938313747
59	1.930457063
60	1.927328246
61	1.924910886
62	1.919236396
63	1.918283928
64	1.917447922
65	1.908619214
66	1.898380737
67	1.897652172
68	1.893273633
69	1.884196867
70	1.876564531
71	1.875435641
72	1.874486336
73	1.873843868
74	1.869272037
75	1.868606327
76	1.867883597
77	1.863723919
78	1.85911176
79	1.854856703
80	1.851675527
81	1.847977757
82	1.836519359
83	1.835957337
84	1.835105209
85	1.8321412
86	1.829156581
87	1.828666566
88	1.826340897
89	1.825857639
90	1.825396653
91	1.821136528
92	1.817435707
93	1.814519885
94	1.812702298
95	1.810787201
96	1.804329217
97	1.802632717
98	1.802259315
99	1.792485823
