iter	Passed	Remaining
0	1	109
1	1	83
2	2	70
3	2	64
4	3	58
5	3	55
6	3	52
7	4	50
8	4	48
9	5	47
10	5	45
11	6	44
12	6	43
13	6	42
14	7	41
15	7	40
16	8	39
17	8	39
18	8	38
19	9	38
20	9	37
21	10	36
22	10	36
23	11	35
24	11	34
25	12	34
26	12	33
27	12	33
28	13	32
29	13	32
30	14	31
31	14	31
32	15	30
33	15	30
34	16	29
35	16	29
36	17	29
37	17	28
38	18	28
39	18	27
40	19	27
41	19	27
42	20	26
43	20	26
44	21	25
45	21	25
46	22	25
47	22	24
48	23	24
49	23	23
50	24	23
51	24	22
52	25	22
53	26	22
54	26	22
55	27	21
56	27	21
57	28	20
58	29	20
59	29	19
60	30	19
61	30	18
62	31	18
63	31	17
64	32	17
65	32	16
66	33	16
67	33	15
68	34	15
69	34	14
70	35	14
71	35	13
72	36	13
73	36	12
74	37	12
75	37	11
76	38	11
77	38	10
78	39	10
79	39	9
80	40	9
81	41	9
82	41	8
83	41	7
84	42	7
85	42	6
86	43	6
87	43	5
88	44	5
89	45	5
90	45	4
91	45	3
92	46	3
93	46	2
94	47	2
95	48	2
96	48	1
97	49	1
98	49	0
99	50	0
