iter	RMSE
0	2740.205603
1	2637.649779
2	2547.154127
3	2473.627878
4	2410.172677
5	2352.948577
6	2305.638695
7	2265.191597
8	2229.479713
9	2197.919425
10	2170.545661
11	2144.356775
12	2121.23033
13	2099.113485
14	2081.58412
15	2065.428837
16	2051.219176
17	2037.387521
18	2025.361022
19	2015.330165
20	2005.703821
21	1996.272372
22	1987.243705
23	1980.088404
24	1972.752378
25	1965.521686
26	1958.837369
27	1952.438385
28	1946.098345
29	1940.046285
30	1934.562663
31	1930.956984
32	1926.324604
33	1921.563368
34	1918.013431
35	1913.988326
36	1913.098219
37	1912.17303
38	1908.497193
39	1903.693584
40	1900.878702
41	1896.896527
42	1894.594418
43	1890.397366
44	1887.342437
45	1885.676781
46	1882.751316
47	1880.704243
48	1878.564166
49	1874.658375
50	1872.549929
51	1869.071541
52	1868.696423
53	1866.027777
54	1863.26806
55	1860.199686
56	1857.621546
57	1855.013735
58	1854.771831
59	1853.479866
60	1852.125354
61	1850.210965
62	1849.543226
63	1846.303493
64	1844.13472
65	1841.476744
66	1838.960906
67	1837.283885
68	1837.050491
69	1836.680764
70	1835.521143
71	1834.406949
72	1831.254155
73	1830.925134
74	1828.687734
75	1826.506653
76	1823.951842
77	1822.230285
78	1820.723486
79	1818.66439
80	1817.579941
81	1816.420418
82	1814.44495
83	1813.864061
84	1813.710549
85	1813.436797
86	1812.665597
87	1812.490522
88	1812.337011
89	1811.935243
90	1810.223619
91	1809.996073
92	1809.232041
93	1807.477453
94	1807.273957
95	1806.911623
96	1805.581844
97	1803.86759
98	1802.319363
99	1802.179176
