iter	Passed	Remaining
0	41	4145
1	80	3920
2	110	3558
3	144	3476
4	174	3324
5	202	3164
6	231	3082
7	260	2990
8	287	2904
9	315	2836
10	343	2776
11	371	2723
12	399	2672
13	432	2657
14	465	2636
15	494	2596
16	522	2552
17	551	2513
18	584	2492
19	612	2448
20	639	2405
21	671	2380
22	702	2352
23	736	2333
24	765	2297
25	794	2261
26	825	2231
27	854	2198
28	881	2158
29	909	2121
30	937	2087
31	967	2056
32	997	2025
33	1025	1991
34	1055	1960
35	1087	1934
36	1114	1898
37	1143	1866
38	1173	1835
39	1202	1803
40	1232	1772
41	1260	1740
42	1291	1711
43	1320	1680
44	1351	1651
45	1381	1622
46	1409	1589
47	1436	1556
48	1464	1524
49	1493	1493
50	1524	1465
51	1553	1433
52	1582	1403
53	1612	1373
54	1643	1344
55	1672	1314
56	1702	1284
57	1730	1252
58	1758	1221
59	1786	1191
60	1817	1161
61	1844	1130
62	1873	1100
63	1905	1071
64	1935	1042
65	1965	1012
66	1993	981
67	2023	952
68	2053	922
69	2084	893
70	2113	863
71	2142	833
72	2173	803
73	2203	774
74	2230	743
75	2259	713
76	2289	683
77	2318	654
78	2347	624
79	2377	594
80	2404	563
81	2431	533
82	2463	504
83	2494	475
84	2524	445
85	2553	415
86	2582	385
87	2611	356
88	2642	326
89	2672	296
90	2703	267
91	2734	237
92	2763	208
93	2792	178
94	2823	148
95	2849	118
96	2881	89
97	2913	59
98	2945	29
99	2974	0
