iter	RMSE
0	4923.225174
1	4787.25544
2	4666.753101
3	4559.196941
4	4464.844717
5	4380.781569
6	4306.14169
7	4241.327637
8	4184.105673
9	4134.072444
10	4090.031367
11	4051.438245
12	4017.721101
13	3988.161496
14	3962.65195
15	3940.439166
16	3908.635423
17	3879.665567
18	3855.599618
19	3833.811241
20	3815.462236
21	3796.320499
22	3779.662057
23	3765.097982
24	3752.164725
25	3741.113386
26	3731.549271
27	3722.949509
28	3716.281619
29	3710.204755
30	3704.187412
31	3699.500146
32	3695.675418
33	3691.935331
34	3688.636005
35	3685.883263
36	3683.44664
37	3675.300025
38	3670.328174
39	3663.300801
40	3657.421616
41	3652.046418
42	3645.310012
43	3638.978214
44	3628.684845
45	3617.470228
46	3607.883414
47	3599.702753
48	3591.533101
49	3585.127935
50	3579.398988
51	3573.065323
52	3568.094065
53	3563.507099
54	3559.88871
55	3555.930637
56	3551.559616
57	3546.584547
58	3540.683386
59	3540.48951
60	3534.270638
61	3529.288609
62	3525.385157
63	3520.554603
64	3516.506476
65	3511.991368
66	3511.987984
67	3507.585974
68	3503.69482
69	3498.786448
70	3497.003218
71	3490.797396
72	3487.314528
73	3482.501157
74	3482.440276
75	3472.966879
76	3469.842111
77	3467.141075
78	3464.762255
79	3463.512799
80	3462.300856
81	3457.2723
82	3450.995219
83	3446.345688
84	3444.166045
85	3441.215159
86	3439.513202
87	3437.126339
88	3432.202658
89	3430.441074
90	3424.853289
91	3424.845796
92	3424.843675
93	3424.153745
94	3422.737907
95	3415.093084
96	3414.129932
97	3409.804906
98	3406.915192
99	3404.254616
