iter	Passed	Remaining
0	8	813
1	14	716
2	20	661
3	27	652
4	33	627
5	38	609
6	44	596
7	50	585
8	56	575
9	62	565
10	69	558
11	74	549
12	80	540
13	86	533
14	92	521
15	99	521
16	104	512
17	111	506
18	116	498
19	122	489
20	128	483
21	134	476
22	141	474
23	147	467
24	153	459
25	160	455
26	165	448
27	172	442
28	177	435
29	183	428
30	189	422
31	195	416
32	201	409
33	207	403
34	213	396
35	218	389
36	224	382
37	230	375
38	235	368
39	240	361
40	246	355
41	252	348
42	258	342
43	263	335
44	269	329
45	275	323
46	281	317
47	287	311
48	293	305
49	299	299
50	305	293
51	311	287
52	317	281
53	323	275
54	328	269
55	334	262
56	340	256
57	345	250
58	351	243
59	356	237
60	362	231
61	367	225
62	374	219
63	379	213
64	385	207
65	391	201
66	397	196
67	404	190
68	410	184
69	416	178
70	421	172
71	427	166
72	432	160
73	439	154
74	444	148
75	450	142
76	457	136
77	463	130
78	469	124
79	475	118
80	481	112
81	488	107
82	494	101
83	500	95
84	506	89
85	512	83
86	518	77
87	523	71
88	529	65
89	536	59
90	542	53
91	549	47
92	555	41
93	561	35
94	566	29
95	572	23
96	578	17
97	584	11
98	590	5
99	596	0
