iter	RMSE
0	7.444860316
1	6.912961899
2	6.234718117
3	5.900130662
4	5.565771997
5	5.351499367
6	5.005816391
7	4.782991813
8	4.63089601
9	4.421182509
10	4.203093633
11	4.063218184
12	3.896787906
13	3.787099166
14	3.668665446
15	3.606207552
16	3.52103652
17	3.457770965
18	3.371274995
19	3.294562617
20	3.227249687
21	3.178663775
22	3.130376327
23	3.095847463
24	3.056524781
25	3.028685405
26	2.982258782
27	2.916228082
28	2.888496327
29	2.85951379
30	2.832848067
31	2.794267437
32	2.764109856
33	2.735134891
34	2.715396996
35	2.66300588
36	2.629854704
37	2.604191042
38	2.577708061
39	2.56102914
40	2.541109402
41	2.517371587
42	2.486466931
43	2.466403974
44	2.441802255
45	2.420236902
46	2.409380853
47	2.380135549
48	2.350645488
49	2.329787005
50	2.310467568
51	2.29461466
52	2.282093858
53	2.248177382
54	2.229841402
55	2.214052159
56	2.195542104
57	2.179781475
58	2.159234395
59	2.139044394
60	2.125412596
61	2.105665954
62	2.08530158
63	2.063821733
64	2.051809439
65	2.038392274
66	2.031095274
67	2.019734794
68	2.010143105
69	1.999112175
