iter	Passed	Remaining
0	0	9
1	0	8
2	0	7
3	0	7
4	0	7
5	0	6
6	0	6
7	0	6
8	0	6
9	0	6
10	0	6
11	0	6
12	0	6
13	0	6
14	1	6
15	1	6
16	1	5
17	1	5
18	1	5
19	1	5
20	1	5
21	1	6
22	1	5
23	1	5
24	1	5
25	2	5
26	2	5
27	2	5
28	2	5
29	2	5
30	2	5
31	2	5
32	2	4
33	2	4
34	2	4
35	2	4
36	2	4
37	2	4
38	2	4
39	2	4
40	2	4
41	2	4
42	3	4
43	3	3
44	3	3
45	3	3
46	3	3
47	3	3
48	3	3
49	3	3
50	3	3
51	3	3
52	3	3
53	3	3
54	3	3
55	3	3
56	3	2
57	3	2
58	4	2
59	4	2
60	4	2
61	4	2
62	4	2
63	4	2
64	4	2
65	4	2
66	4	2
67	4	2
68	4	2
69	4	2
