iter	RMSE
0	3491.017916
1	3072.332487
2	2728.358504
3	2444.585287
4	2213.795881
5	2030.164548
6	1879.710987
7	1761.990166
8	1670.334047
9	1600.293936
10	1545.576212
11	1437.884047
12	1354.406812
13	1284.518983
14	1234.70015
15	1147.740458
16	1076.460293
17	1018.975603
18	972.082773
19	930.8131883
20	898.6835652
21	867.1514068
22	839.2253304
23	809.8515779
24	784.6916758
25	764.7505299
26	749.3378848
27	737.2960503
28	727.020343
29	717.8364165
30	706.9971034
31	697.68283
32	689.689786
33	678.4680033
34	669.1116972
35	663.606001
36	659.5474226
37	653.1517781
38	649.7608176
39	646.1714054
40	645.5134127
41	640.3705942
42	638.2327663
43	633.0448472
44	629.5734598
45	627.6453855
46	627.008039
47	626.2592494
48	623.7566129
49	621.995963
50	618.7270157
51	618.5725456
52	618.2285545
53	615.2348381
54	615.1208287
55	612.8972959
56	612.7338848
57	612.3600202
58	611.9692794
59	609.5672142
60	607.5558823
61	604.7256283
62	601.6444943
63	601.5853731
64	599.4517618
65	599.1480317
66	596.6867252
67	596.3613716
68	596.0451069
69	595.760318
70	591.9746843
71	591.3460372
72	591.0423632
73	590.7489266
74	590.4597139
75	588.5177948
76	588.2794302
77	586.4773207
78	586.1983598
79	584.9290101
80	584.6652617
81	583.3511947
82	583.2499442
83	583.0202114
84	582.9238053
85	581.4766445
86	580.3160926
87	580.226126
88	579.1840515
89	578.3193974
90	576.7163264
91	576.0531393
92	575.8332319
93	575.4237168
94	573.253724
95	571.2067957
96	569.7693845
97	567.6628773
98	567.4454563
99	566.4047413
