iter	RMSE
0	73019.98927
1	63801.33888
2	57133.72246
3	51977.88882
4	47538.11916
5	44311.05982
6	41427.2314
7	41105.42975
8	38932.76203
9	38597.14593
10	38246.60128
11	37732.48649
12	36463.47823
13	36039.4724
14	34167.3848
15	33805.19759
16	33625.53268
17	32376.68307
18	32172.10393
19	31025.79582
20	30866.32071
21	30622.52098
22	30067.43131
23	29753.13958
24	29408.0012
25	29281.63107
26	28310.03538
27	28128.09195
28	27195.15281
29	27118.56798
30	26976.83771
31	26862.8253
32	26765.90431
33	26697.16343
34	26629.75582
35	25903.85344
36	25743.58453
37	25667.2516
38	25603.51787
39	25548.54662
40	24748.28851
41	24697.92879
42	24074.522
43	24024.84517
44	23942.39743
45	23897.58261
46	23494.03113
47	23451.64514
48	23065.88703
49	23011.06615
50	22776.35259
51	22728.82005
52	22699.82818
53	22657.62977
54	22393.2581
55	22353.8027
56	22033.50113
57	21637.67125
58	21508.04843
59	21191.98529
60	20971.88937
61	20930.99632
62	20780.08525
63	20461.09111
64	20426.95335
65	20192.70677
66	19998.62076
67	19937.27066
68	19530.40026
69	19478.96582
70	19247.69845
71	19220.70784
72	19009.90711
73	18670.84125
74	18505.14414
75	18482.0436
76	18379.41039
77	18303.73403
78	18115.47465
79	18023.64392
80	17899.10461
81	17690.17185
82	17560.9685
83	17531.72233
84	17352.20121
85	17162.95608
86	16979.9862
87	16967.91569
88	16889.23487
89	16774.89379
90	16724.2133
91	16559.69472
92	16553.02626
93	16534.60747
94	16305.63391
95	16300.31135
96	16161.76399
97	16072.10421
98	15892.0298
99	15842.53465
