iter	Passed	Remaining
0	0	61
1	1	59
2	1	56
3	2	55
4	2	53
5	3	51
6	3	49
7	4	49
8	4	47
9	5	46
10	5	45
11	6	44
12	6	44
13	7	43
14	7	42
15	8	42
16	8	41
17	8	40
18	9	39
19	9	39
20	10	38
21	10	38
22	11	38
23	12	38
24	12	38
25	13	37
26	13	37
27	14	36
28	14	36
29	15	35
30	16	35
31	16	35
32	17	34
33	17	34
34	18	33
35	18	33
36	19	32
37	19	32
38	20	31
39	20	30
40	21	30
41	21	29
42	22	29
43	22	28
44	23	28
45	23	28
46	24	27
47	25	27
48	25	26
49	26	26
50	27	25
51	27	25
52	28	24
53	28	24
54	29	23
55	29	23
56	30	22
57	30	22
58	31	21
59	32	21
60	32	20
61	33	20
62	33	19
63	34	19
64	34	18
65	35	18
66	35	17
67	36	17
68	36	16
69	37	16
70	37	15
71	38	14
72	38	14
73	39	13
74	40	13
75	40	12
76	41	12
77	41	11
78	42	11
79	42	10
80	43	10
81	43	9
82	44	9
83	44	8
84	45	8
85	46	7
86	46	6
87	47	6
88	47	5
89	48	5
90	49	4
91	49	4
92	50	3
93	50	3
94	51	2
95	51	2
96	52	1
97	53	1
98	53	0
99	54	0
