iter	RMSE
0	333304.6257
1	298259.0981
2	269700.2571
3	247573.0468
4	228681.0727
5	213188.4379
6	201426.4057
7	190931.4005
8	183064.4728
9	173181.2421
10	164475.2751
11	157051.6965
12	150570.6162
13	146021.9486
14	142360.5948
15	139619.1162
16	136693.4076
17	133481.5032
18	131490.986
19	129784.3502
20	128372.938
21	126377.3692
22	125371.8073
23	124131.0869
24	123108.1994
25	122190.6985
26	121545.8415
27	120715.2426
28	119933.3112
29	119163.102
30	118621.4966
31	118203.5721
32	117182.511
33	116469.2564
34	115820.4649
35	114702.1814
36	114115.419
37	113197.853
38	112555.5405
39	111943.1128
40	111419.6226
41	110699.9083
42	110349.4364
43	109750.8212
44	109236.6483
45	108654.3615
46	108089.6777
47	107645.5909
48	107291.308
49	106897.3604
50	106442.3952
51	105875.9371
52	105411.1281
53	104887.1657
54	104447.5595
55	103779.1278
56	103295.1747
57	102888.9861
58	102595.2732
59	102102.4657
60	101724.5015
61	101231.4652
62	100947.6711
63	100574.3932
64	100131.026
65	99797.62293
66	99521.23057
67	99094.42987
68	98819.69239
69	98288.00587
70	97981.22748
71	97696.85093
72	97346.43468
73	96930.15777
74	96600.311
75	96325.9806
76	96023.59364
77	95660.92019
78	95300.25508
79	95053.16519
80	94565.92818
81	94313.16026
82	94017.53292
83	93730.91234
84	93447.54092
85	93275.49466
86	92965.8518
87	92801.82741
88	92565.77533
89	92200.43308
90	91920.83543
91	91544.04502
92	91271.22078
93	91088.54541
94	90824.63377
95	90679.17229
96	90466.48807
97	90228.18178
98	90089.61199
99	89875.5147
