iter	Passed	Remaining
0	1	102
1	1	70
2	1	58
3	2	53
4	2	48
5	2	44
6	3	41
7	3	39
8	3	38
9	4	37
10	4	36
11	4	35
12	5	34
13	5	34
14	5	33
15	6	33
16	6	32
17	6	31
18	7	30
19	7	30
20	7	29
21	8	29
22	8	28
23	8	28
24	9	27
25	9	27
26	9	26
27	10	26
28	10	25
29	10	25
30	11	24
31	11	24
32	11	24
33	12	23
34	12	23
35	13	23
36	13	22
37	13	22
38	14	22
39	14	22
40	15	21
41	15	21
42	15	21
43	16	20
44	16	20
45	16	19
46	17	19
47	17	18
48	17	18
49	18	18
50	18	17
51	18	17
52	19	17
53	19	16
54	20	16
55	20	16
56	21	15
57	21	15
58	21	15
59	22	14
60	22	14
61	22	14
62	23	13
63	23	13
64	23	12
65	24	12
66	24	12
67	24	11
68	25	11
69	25	11
70	26	10
71	26	10
72	26	9
73	27	9
74	27	9
75	28	8
76	28	8
77	28	8
78	29	7
79	29	7
80	29	6
81	30	6
82	30	6
83	30	5
84	31	5
85	31	5
86	31	4
87	32	4
88	32	4
89	32	3
90	33	3
91	33	2
92	34	2
93	34	2
94	34	1
95	35	1
96	35	1
97	35	0
98	36	0
99	36	0
