iter	RMSE
0	12.02734973
1	11.49568101
2	11.04308046
3	10.57962872
4	10.18870992
5	9.927229959
6	9.65163767
7	9.376827226
8	9.139498746
9	8.954879918
10	8.78675994
11	8.636112119
12	8.491452452
13	8.386221164
14	8.310837455
15	8.215007317
16	8.141857115
17	8.084034381
18	8.030719502
19	7.984124336
20	7.943924762
21	7.911398116
22	7.880105191
23	7.848638014
24	7.831355765
25	7.80490658
26	7.788190747
27	7.768444461
28	7.759898637
29	7.748418429
30	7.729882529
31	7.719886922
32	7.707548375
33	7.696798078
34	7.68491597
35	7.674793493
36	7.664342638
37	7.651819933
38	7.646158089
39	7.638126304
40	7.629554208
41	7.620842456
42	7.616190303
43	7.606279503
44	7.59735771
45	7.591589207
46	7.586400221
47	7.580558627
48	7.575289384
49	7.572974578
50	7.56777595
51	7.562274261
52	7.554367956
53	7.544174391
54	7.5401795
55	7.531303327
56	7.527252537
57	7.51936148
58	7.514691817
59	7.507958529
60	7.50038734
61	7.488967216
62	7.482753128
63	7.475901015
64	7.467619911
65	7.463454753
66	7.456572001
67	7.449281669
68	7.445165891
69	7.441255563
70	7.43548515
71	7.430783637
72	7.424976082
73	7.419969483
74	7.409479681
75	7.399488109
76	7.394127365
77	7.392168899
78	7.386745782
79	7.371566012
80	7.36549451
81	7.3602673
82	7.358373835
83	7.345175984
84	7.340882509
85	7.330814309
86	7.325179553
87	7.318201372
88	7.314158717
89	7.309419172
90	7.30852966
91	7.304378425
92	7.301662339
93	7.297306699
94	7.294340888
95	7.28975392
96	7.287049827
97	7.278642163
98	7.274808255
99	7.271914498
