iter	Passed	Remaining
0	1	135
1	2	121
2	3	114
3	4	109
4	5	106
5	6	106
6	7	105
7	8	103
8	10	101
9	11	100
10	12	99
11	13	98
12	14	96
13	15	95
14	16	94
15	17	92
16	18	91
17	20	91
18	21	90
19	22	89
20	23	88
21	24	87
22	25	86
23	26	85
24	28	84
25	29	83
26	30	82
27	31	81
28	32	80
29	33	79
30	35	78
31	36	76
32	37	75
33	38	74
34	39	73
35	41	73
36	42	72
37	43	71
38	44	69
39	45	68
40	46	67
41	48	66
42	49	65
43	50	64
44	51	63
45	52	62
46	54	61
47	55	59
48	56	58
49	57	57
50	58	56
51	59	55
52	61	54
53	62	53
54	63	51
55	64	50
56	65	49
57	67	48
58	68	47
59	69	46
60	70	44
61	71	43
62	72	42
63	73	41
64	74	40
65	75	39
66	77	37
67	78	36
68	79	35
69	80	34
70	81	33
71	82	32
72	83	31
73	85	29
74	86	28
75	87	27
76	88	26
77	89	25
78	90	24
79	91	22
80	93	21
81	94	20
82	95	19
83	96	18
84	97	17
85	98	16
86	99	14
87	100	13
88	102	12
89	103	11
90	104	10
91	105	9
92	107	8
93	108	6
94	109	5
95	110	4
96	111	3
97	112	2
98	114	1
99	115	0
