iter	RMSE
0	73.31700382
1	64.9424735
2	58.4554065
3	51.71103866
4	46.73263932
5	42.04459617
6	39.0351971
7	36.02692324
8	33.62276321
9	31.85784316
10	30.33813879
11	29.07652253
12	28.03770549
13	27.27853306
14	26.44867304
15	25.91909296
16	25.41059816
17	24.78891607
18	24.3327549
19	24.06845987
20	23.87943635
21	23.61638494
22	23.21585026
23	22.99073871
24	22.77888566
25	22.52366607
26	22.34590157
27	22.03811944
28	21.93026038
29	21.86384493
30	21.67544959
31	21.4085027
32	21.29022542
33	21.14344479
34	20.98496708
35	20.73223794
36	20.65616256
37	20.40824889
38	20.23794679
39	19.97895577
40	19.81680683
41	19.69634634
42	19.58676433
43	19.34612523
44	19.15608848
45	18.97733218
46	18.83125814
47	18.75233816
48	18.58810466
49	18.54089244
50	18.31520927
51	18.21667583
52	18.14263222
53	18.05936513
54	18.0174506
55	17.82398792
56	17.78241367
57	17.66478583
58	17.62152505
59	17.47633455
60	17.40589698
61	17.36352509
62	17.3419325
63	17.31463383
64	17.27558035
65	17.19415924
66	17.11578512
67	17.04609652
68	17.02324672
69	16.93686802
70	16.91602043
71	16.8974302
72	16.83284783
73	16.81514232
74	16.78329569
75	16.74877241
76	16.67443905
77	16.66138235
78	16.58652067
79	16.46938735
80	16.37080005
81	16.28631173
82	16.22571906
83	16.17401648
84	16.14139257
85	16.09223072
86	16.07135774
87	15.93055247
88	15.84060337
89	15.82634473
90	15.77773404
91	15.77173763
92	15.7510563
93	15.73394031
94	15.62496166
95	15.5795592
96	15.44200209
97	15.3569713
98	15.31249037
99	15.27948845
