iter	Passed	Remaining
0	0	32
1	0	28
2	0	26
3	1	25
4	1	26
5	1	26
6	2	27
7	2	25
8	2	25
9	2	25
10	3	24
11	3	25
12	3	24
13	3	23
14	4	23
15	4	23
16	4	22
17	4	22
18	5	22
19	5	21
20	5	21
21	5	21
22	6	20
23	6	20
24	6	19
25	6	19
26	7	19
27	7	18
28	7	18
29	7	18
30	8	17
31	8	17
32	8	17
33	8	17
34	8	16
35	9	16
36	9	16
37	9	15
38	9	15
39	10	15
40	10	15
41	10	14
42	10	14
43	11	14
44	11	13
45	11	13
46	11	13
47	12	13
48	12	12
49	12	12
50	13	12
51	13	12
52	13	12
53	14	11
54	14	11
55	14	11
56	14	11
57	15	10
58	15	10
59	15	10
60	15	10
61	16	9
62	16	9
63	16	9
64	16	9
65	17	8
66	17	8
67	17	8
68	18	8
69	18	7
70	19	7
71	19	7
72	19	7
73	19	6
74	20	6
75	20	6
76	20	6
77	20	5
78	21	5
79	21	5
80	21	5
81	22	4
82	22	4
83	22	4
84	22	4
85	23	3
86	23	3
87	23	3
88	24	2
89	24	2
90	24	2
91	25	2
92	25	1
93	25	1
94	25	1
95	26	1
96	26	0
97	27	0
98	27	0
99	27	0
