iter	RMSE
0	2205.20925
1	2042.221732
2	1906.6012
3	1810.799106
4	1748.964143
5	1694.51886
6	1654.455931
7	1625.745441
8	1599.813922
9	1575.784085
10	1559.70968
11	1538.728447
12	1525.253566
13	1510.980418
14	1481.650486
15	1466.96935
16	1450.054764
17	1431.547306
18	1407.541711
19	1399.154408
20	1392.665408
21	1382.900692
22	1377.897683
23	1372.915607
24	1366.594628
25	1363.644184
26	1346.977812
27	1340.408451
28	1330.295489
29	1312.78098
30	1307.942564
31	1298.541712
32	1295.638562
33	1290.238108
34	1280.687767
35	1276.006543
36	1268.237844
37	1264.293221
38	1258.269183
39	1250.512613
40	1246.858146
41	1228.804537
42	1226.901668
43	1225.03951
44	1223.118421
45	1219.035118
46	1202.104388
47	1199.343444
48	1194.794855
