iter	Passed	Remaining
0	4	462
1	7	365
2	10	329
3	12	308
4	15	300
5	18	292
6	21	285
7	24	279
8	27	273
9	29	267
10	32	261
11	35	257
12	37	252
13	41	252
14	45	255
15	47	251
16	50	246
17	53	242
18	55	238
19	58	234
20	61	230
21	63	226
22	66	223
23	69	219
24	72	216
25	74	212
26	77	209
27	80	207
28	84	207
29	87	203
30	90	200
31	93	198
32	96	195
33	98	191
34	101	188
35	104	185
36	107	182
37	109	179
38	112	175
39	115	172
40	117	169
41	121	167
42	125	166
43	128	163
44	131	160
45	134	157
46	137	154
47	139	151
48	142	148
49	145	145
50	147	142
51	150	139
52	153	135
53	156	132
54	159	130
55	162	127
56	166	125
57	169	122
58	171	119
59	174	116
