iter	RMSE
0	0.8290947263
1	0.8227897755
2	0.8163095159
3	0.8144759501
4	0.809220372
5	0.8039892961
6	0.8015566046
7	0.7966603347
8	0.7901370381
9	0.78398338
10	0.7823528405
11	0.7757443516
12	0.7727044875
13	0.7690234288
14	0.7639188312
15	0.7639180176
16	0.7610991185
17	0.7573786422
18	0.7550668315
19	0.74890039
20	0.7432483022
21	0.7415864804
22	0.7403802247
23	0.7347441574
24	0.7336034021
25	0.731753296
26	0.7314711839
27	0.731055694
28	0.7277995782
29	0.7277241343
30	0.7262800117
31	0.7234395262
32	0.721855663
33	0.7195756568
34	0.7162488889
35	0.7108005849
36	0.7100249007
37	0.7096371577
38	0.7058268903
39	0.7046122373
40	0.700383745
41	0.6973967096
42	0.6972922709
43	0.6969956533
44	0.6935882867
45	0.6909987689
46	0.6900256231
47	0.6881792053
48	0.6869459679
49	0.6846961183
50	0.681964797
51	0.680593179
52	0.6770432137
53	0.6757931007
54	0.6739379996
55	0.6704504935
