iter	Passed	Remaining
0	0	30
1	0	29
2	0	26
3	1	28
4	1	28
5	1	27
6	1	25
7	2	24
8	2	23
9	2	22
10	3	27
11	3	26
12	3	25
13	3	24
14	4	23
15	4	22
16	4	22
17	4	21
18	4	20
19	5	20
20	5	20
21	5	19
22	5	19
23	5	18
24	6	18
25	6	17
26	6	17
27	6	17
28	6	16
29	7	16
30	7	16
31	7	16
32	7	15
33	7	15
34	8	15
35	8	15
36	8	14
37	9	14
38	9	14
39	9	14
40	9	13
41	9	13
42	10	13
43	10	13
44	10	12
45	10	12
46	10	12
47	11	12
48	11	11
49	11	11
50	11	11
51	12	11
52	12	10
53	12	10
54	12	10
55	12	10
56	13	9
57	13	9
58	13	9
59	13	9
60	14	8
61	14	8
62	14	8
63	14	8
64	14	7
65	14	7
66	15	7
67	15	7
68	15	6
69	15	6
70	15	6
71	16	6
72	16	6
73	16	5
74	16	5
75	17	5
76	17	5
77	17	4
78	17	4
79	18	4
80	18	4
81	18	4
82	18	3
83	19	3
84	19	3
85	19	3
86	20	2
87	20	2
88	20	2
89	20	2
90	21	2
91	21	1
92	21	1
93	21	1
94	21	1
95	22	0
96	22	0
97	22	0
98	22	0
99	23	0
