

----------------------------------------------------------------------------
Training SAINT Vesion 1 with Dataset: config/boston.yml 



----------------------------------------------------------------------------
 Panda Version: 2.0.3
Namespace(batch_size=128, cat_dims=None, cat_idx=None, config='config/boston.yml', data_parallel=False, dataset='Boston', direction='minimize', dropna_idx=None, early_stopping_rounds=20, epochs=100, gpu_ids=[0, 1], logging_period=100, miss_cat_idx=None, miss_num_idx=None, model_name='SAINT', n_trials=1, nominal_idx=[3], num_classes=1, num_features=13, num_idx=None, num_splits=5, objective='regression', one_hot_encode=True, optimize_hyperparameters=True, ordinal_encode=False, ordinal_idx=None, scale=True, seed=221, shuffle=True, target_encode=False, use_gpu=True, val_batch_size=256)
Start hyperparameter optimization
 Panda Version: 2.0.3
Loading dataset Boston...
Dataset loaded! 

X b4 encoding : [6.320e-03 1.800e+01 2.310e+00 0.000e+00 5.380e-01 6.575e+00 6.520e+01
 4.090e+00 1.000e+00 2.960e+02 1.530e+01 3.969e+02 4.980e+00] 

(506, 13)
Data Type of X: <class 'numpy.ndarray'>
Nominal Idx: [3]
Ordinal Idx: None
Cat Dims: None 
 

Normonal Idx: [3]
Cat Idx Part II: [3] 
ENDE 
 

X after Nominal Encoding: [6.320e-03 1.800e+01 2.310e+00 0.000e+00 5.380e-01 6.575e+00 6.520e+01
 4.090e+00 1.000e+00 2.960e+02 1.530e+01 3.969e+02 4.980e+00] 
 

Scaling the data...
X after Scaling: [-0.41978194  0.28482986 -1.2879095   0.         -0.14421743  0.41367189
 -0.12001342  0.1402136  -0.98284286 -0.66660821 -1.45900038  0.44105193
 -1.0755623 ] 
 

One Hot Encoding...
X after One Hot Encoding: [ 1.          0.         -0.41978194  0.28482986 -1.2879095  -0.14421743
  0.41367189 -0.12001342  0.1402136  -0.98284286 -0.66660821 -1.45900038
  0.44105193 -1.0755623 ] 
 

args.num_features: 14
args.cat_idx: None
Cat Dims: []
New Shape: (506, 14)
False 
 

Using an existing study with name 'SAINT_Boston' instead of creating a new one.
In get_device
Using dim 64 and batch size 128
In get_device
Using dim 64 and batch size 128
Epoch 0 loss 510.3791198730469
Epoch 1 loss 480.5232238769531
Epoch 2 loss 450.5751647949219
Epoch 3 loss 416.8348388671875
Epoch 4 loss 378.7604675292969
Epoch 5 loss 335.7684020996094
Epoch 6 loss 285.3505859375
Epoch 7 loss 227.7576904296875
Epoch 8 loss 166.51583862304688
Epoch 9 loss 109.69254302978516
Epoch 10 loss 72.17642974853516
Epoch 11 loss 66.50407409667969
Epoch 12 loss 69.43647766113281
Epoch 13 loss 50.92853927612305
Epoch 14 loss 49.857078552246094
Epoch 15 loss 40.60585403442383
Epoch 16 loss 39.05123519897461
Epoch 17 loss 34.94001007080078
Epoch 18 loss 33.340179443359375
Epoch 19 loss 31.422264099121094
Epoch 20 loss 28.579626083374023
Epoch 21 loss 25.765836715698242
Epoch 22 loss 24.93012809753418
Epoch 23 loss 24.163379669189453
Epoch 24 loss 23.939151763916016
Epoch 25 loss 23.173805236816406
Epoch 26 loss 22.213212966918945
Epoch 27 loss 21.8292293548584
Epoch 28 loss 21.148088455200195
Epoch 29 loss 18.85865020751953
Epoch 30 loss 21.567623138427734
Epoch 31 loss 19.979433059692383
Epoch 32 loss 19.109722137451172
Epoch 33 loss 18.22949981689453
Epoch 34 loss 18.039939880371094
Epoch 35 loss 18.355497360229492
Epoch 36 loss 17.07497787475586
Epoch 37 loss 18.452917098999023
Epoch 38 loss 16.365156173706055
Epoch 39 loss 15.87555980682373
Epoch 40 loss 17.155187606811523
Epoch 41 loss 17.272207260131836
Epoch 42 loss 15.74571704864502
Epoch 43 loss 15.624021530151367
Epoch 44 loss 16.412179946899414
Epoch 45 loss 15.30235481262207
Epoch 46 loss 15.379271507263184
Epoch 47 loss 14.888914108276367
Epoch 48 loss 15.458436965942383
Epoch 49 loss 14.20056438446045
Epoch 50 loss 13.964890480041504
Epoch 51 loss 16.565221786499023
Epoch 52 loss 13.685872077941895
Epoch 53 loss 13.760210037231445
Epoch 54 loss 14.281425476074219
Epoch 55 loss 14.309189796447754
Epoch 56 loss 13.103180885314941
Epoch 57 loss 13.308601379394531
Epoch 58 loss 13.600495338439941
Epoch 59 loss 13.177019119262695
Epoch 60 loss 12.119913101196289
Epoch 61 loss 11.997447967529297
Epoch 62 loss 12.065947532653809
Epoch 63 loss 12.214977264404297
Epoch 64 loss 12.0848388671875
Epoch 65 loss 12.54316520690918
Epoch 66 loss 12.003229141235352
Epoch 67 loss 12.099044799804688
Epoch 68 loss 11.719511985778809
Epoch 69 loss 12.445769309997559
Epoch 70 loss 12.294041633605957
Epoch 71 loss 12.622350692749023
Epoch 72 loss 13.179963111877441
Epoch 73 loss 12.334761619567871
Epoch 74 loss 12.760249137878418
Epoch 75 loss 13.109753608703613
Epoch 76 loss 13.573873519897461
Epoch 77 loss 13.657339096069336
Epoch 78 loss 13.358654022216797
Epoch 79 loss 12.502546310424805
Epoch 80 loss 12.838211059570312
Epoch 81 loss 12.422111511230469
Epoch 82 loss 11.793817520141602
Epoch 83 loss 11.036849021911621
Epoch 84 loss 12.189936637878418
Epoch 85 loss 12.021415710449219
Epoch 86 loss 12.43320369720459
Epoch 87 loss 12.49014663696289
Epoch 88 loss 12.476484298706055
Epoch 89 loss 11.562196731567383
Epoch 90 loss 11.727566719055176
Epoch 91 loss 13.220063209533691
Epoch 92 loss 11.765324592590332
Epoch 93 loss 11.303662300109863
Epoch 94 loss 12.255524635314941
Epoch 95 loss 12.38012981414795
Epoch 96 loss 11.563687324523926
Epoch 97 loss 11.811366081237793
Epoch 98 loss 11.432368278503418
Epoch 99 loss 11.74594497680664
{'MSE - mean': 11.03684813285679, 'MSE - std': 0.0, 'R2 - mean': 0.8521882757833239, 'R2 - std': 0.0} 
 

In get_device
Using dim 64 and batch size 128
Epoch 0 loss 579.1001586914062
Epoch 1 loss 550.8240966796875
Epoch 2 loss 522.6900634765625
Epoch 3 loss 490.2053527832031
Epoch 4 loss 454.4678955078125
Epoch 5 loss 412.6427001953125
Epoch 6 loss 362.3178405761719
Epoch 7 loss 303.0072326660156
Epoch 8 loss 236.53848266601562
Epoch 9 loss 167.31277465820312
Epoch 10 loss 108.07328796386719
Epoch 11 loss 76.75813293457031
Epoch 12 loss 73.67814636230469
Epoch 13 loss 67.31963348388672
Epoch 14 loss 58.29547119140625
Epoch 15 loss 55.57912826538086
Epoch 16 loss 46.64461898803711
Epoch 17 loss 41.759498596191406
Epoch 18 loss 38.212501525878906
Epoch 19 loss 34.77901077270508
Epoch 20 loss 29.427202224731445
Epoch 21 loss 25.11341094970703
Epoch 22 loss 22.368663787841797
Epoch 23 loss 18.568986892700195
Epoch 24 loss 16.804668426513672
Epoch 25 loss 15.704461097717285
Epoch 26 loss 15.17284870147705
Epoch 27 loss 13.55511474609375
Epoch 28 loss 13.742881774902344
Epoch 29 loss 14.187198638916016
Epoch 30 loss 14.6362943649292
Epoch 31 loss 14.346210479736328
Epoch 32 loss 15.100919723510742
Epoch 33 loss 14.252413749694824
Epoch 34 loss 14.603033065795898
Epoch 35 loss 14.376166343688965
Epoch 36 loss 14.107797622680664
Epoch 37 loss 14.147566795349121
Epoch 38 loss 14.072254180908203
Epoch 39 loss 15.461674690246582
Epoch 40 loss 15.140477180480957
Epoch 41 loss 14.749093055725098
Epoch 42 loss 15.853370666503906
Epoch 43 loss 13.781213760375977
Epoch 44 loss 13.787798881530762
Epoch 45 loss 15.083346366882324
Epoch 46 loss 13.92924690246582
Epoch 47 loss 14.242016792297363
Epoch 48 loss 13.984271049499512
Validation loss has not improved for 20 steps!
Early stopping applies.
{'MSE - mean': 12.295982713009707, 'MSE - std': 1.2591345801529181, 'R2 - mean': 0.841942804176464, 'R2 - std': 0.010245471606859846} 
 

In get_device
Using dim 64 and batch size 128
Epoch 0 loss 645.6920776367188
Epoch 1 loss 613.5136108398438
Epoch 2 loss 584.62353515625
Epoch 3 loss 553.5790405273438
Epoch 4 loss 519.0216064453125
Epoch 5 loss 478.73699951171875
Epoch 6 loss 428.6842346191406
Epoch 7 loss 366.9634094238281
Epoch 8 loss 295.2844543457031
Epoch 9 loss 218.64793395996094
Epoch 10 loss 147.33299255371094
Epoch 11 loss 98.92005920410156
Epoch 12 loss 86.06403350830078
Epoch 13 loss 80.6739273071289
Epoch 14 loss 77.68804168701172
Epoch 15 loss 83.83773803710938
Epoch 16 loss 66.4081039428711
Epoch 17 loss 58.28412628173828
Epoch 18 loss 54.07697677612305
Epoch 19 loss 54.057559967041016
Epoch 20 loss 47.39303207397461
Epoch 21 loss 40.874881744384766
Epoch 22 loss 35.92747116088867
Epoch 23 loss 34.55113983154297
Epoch 24 loss 27.66395378112793
Epoch 25 loss 23.9311466217041
Epoch 26 loss 20.948259353637695
Epoch 27 loss 18.141849517822266
Epoch 28 loss 16.14751434326172
Epoch 29 loss 14.461122512817383
Epoch 30 loss 13.70365047454834
Epoch 31 loss 13.521047592163086
Epoch 32 loss 11.724149703979492
Epoch 33 loss 10.087064743041992
Epoch 34 loss 9.93016242980957
Epoch 35 loss 15.368315696716309
Epoch 36 loss 12.18017578125
Epoch 37 loss 20.061262130737305
Epoch 38 loss 12.586954116821289
Epoch 39 loss 13.037240028381348
Epoch 40 loss 10.069036483764648
Epoch 41 loss 9.620882987976074
Epoch 42 loss 10.249571800231934
Epoch 43 loss 8.828861236572266
Epoch 44 loss 10.032596588134766
Epoch 45 loss 9.25046443939209
Epoch 46 loss 10.397067070007324
Epoch 47 loss 8.445266723632812
Epoch 48 loss 8.646769523620605
Epoch 49 loss 8.625320434570312
Epoch 50 loss 8.775270462036133
Epoch 51 loss 10.507471084594727
Epoch 52 loss 8.848773002624512
Epoch 53 loss 9.86824893951416
Epoch 54 loss 9.083247184753418
Epoch 55 loss 9.636411666870117
Epoch 56 loss 8.896321296691895
Epoch 57 loss 8.357233047485352
Epoch 58 loss 8.316071510314941
Epoch 59 loss 8.575403213500977
Epoch 60 loss 9.653338432312012
Epoch 61 loss 9.484743118286133
Epoch 62 loss 10.049962997436523
Epoch 63 loss 9.192388534545898
Epoch 64 loss 9.585912704467773
Epoch 65 loss 9.847630500793457
Epoch 66 loss 10.642461776733398
Epoch 67 loss 10.049036026000977
Epoch 68 loss 9.018643379211426
Epoch 69 loss 9.757390975952148
Epoch 70 loss 9.376504898071289
Epoch 71 loss 12.077600479125977
Epoch 72 loss 9.721664428710938
Epoch 73 loss 10.693334579467773
Epoch 74 loss 10.75394344329834
Epoch 75 loss 9.747488021850586
Epoch 76 loss 12.251591682434082
Epoch 77 loss 9.483428955078125
Epoch 78 loss 10.108529090881348
Epoch 79 loss 9.2653226852417
Validation loss has not improved for 20 steps!
Early stopping applies.
{'MSE - mean': 10.969346051166122, 'MSE - std': 2.1393635172763172, 'R2 - mean': 0.8655819540314225, 'R2 - std': 0.03446155254814173} 
 

In get_device
Using dim 64 and batch size 128
Epoch 0 loss 499.38720703125
Epoch 1 loss 455.482421875
Epoch 2 loss 413.826171875
Epoch 3 loss 372.82635498046875
Epoch 4 loss 328.9396667480469
Epoch 5 loss 279.88067626953125
Epoch 6 loss 224.8762969970703
Epoch 7 loss 166.2189483642578
Epoch 8 loss 111.39561462402344
Epoch 9 loss 74.8436508178711
Epoch 10 loss 70.384765625
Epoch 11 loss 76.68755340576172
Epoch 12 loss 61.672996520996094
Epoch 13 loss 48.68727111816406
Epoch 14 loss 44.194236755371094
Epoch 15 loss 42.52641296386719
Epoch 16 loss 39.48834228515625
Epoch 17 loss 35.13411331176758
Epoch 18 loss 32.26288986206055
Epoch 19 loss 27.5436954498291
Epoch 20 loss 23.968387603759766
Epoch 21 loss 22.942245483398438
Epoch 22 loss 21.07142448425293
Epoch 23 loss 20.259103775024414
Epoch 24 loss 19.264225006103516
Epoch 25 loss 17.26455307006836
Epoch 26 loss 16.709949493408203
Epoch 27 loss 15.489534378051758
Epoch 28 loss 15.501640319824219
Epoch 29 loss 14.873297691345215
Epoch 30 loss 14.280519485473633
Epoch 31 loss 13.175012588500977
Epoch 32 loss 13.206652641296387
Epoch 33 loss 13.529879570007324
Epoch 34 loss 12.339532852172852
Epoch 35 loss 13.247164726257324
Epoch 36 loss 12.451567649841309
Epoch 37 loss 13.268830299377441
Epoch 38 loss 11.959903717041016
Epoch 39 loss 11.597196578979492
Epoch 40 loss 11.309929847717285
Epoch 41 loss 10.916083335876465
Epoch 42 loss 10.956262588500977
Epoch 43 loss 10.852468490600586
Epoch 44 loss 11.333210945129395
Epoch 45 loss 10.747998237609863
Epoch 46 loss 11.290045738220215
Epoch 47 loss 10.513821601867676
Epoch 48 loss 10.259407997131348
Epoch 49 loss 11.053577423095703
Epoch 50 loss 10.481372833251953
Epoch 51 loss 10.594550132751465
Epoch 52 loss 10.514837265014648
Epoch 53 loss 10.214415550231934
Epoch 54 loss 9.925250053405762
Epoch 55 loss 9.52060317993164
Epoch 56 loss 9.665793418884277
Epoch 57 loss 9.444677352905273
Epoch 58 loss 9.663554191589355
Epoch 59 loss 8.887356758117676
Epoch 60 loss 9.101532936096191
Epoch 61 loss 8.780501365661621
Epoch 62 loss 8.599010467529297
Epoch 63 loss 8.923181533813477
Epoch 64 loss 8.645269393920898
Epoch 65 loss 8.448872566223145
Epoch 66 loss 8.675331115722656
Epoch 67 loss 8.247962951660156
Epoch 68 loss 8.980782508850098
Epoch 69 loss 8.864380836486816
Epoch 70 loss 8.447713851928711
Epoch 71 loss 9.392213821411133
Epoch 72 loss 10.161545753479004
Epoch 73 loss 12.994515419006348
Epoch 74 loss 11.347001075744629
Epoch 75 loss 10.07964038848877
Epoch 76 loss 8.641895294189453
Epoch 77 loss 8.872076034545898
Epoch 78 loss 8.182700157165527
Epoch 79 loss 9.156740188598633
Epoch 80 loss 8.288446426391602
Epoch 81 loss 8.443865776062012
Epoch 82 loss 8.02450180053711
