 Panda Version: 2.0.3
Namespace(batch_size=128, cat_dims=None, cat_idx=None, config='config/diamonds.yml', data_parallel=False, dataset='Diamonds', direction='minimize', dropna_idx=None, early_stopping_rounds=20, epochs=100, gpu_ids=[0, 1], logging_period=100, miss_cat_idx=None, miss_num_idx=None, model_name='TabNet', n_trials=69, nominal_idx=None, num_classes=1, num_features=9, num_idx=None, num_splits=5, objective='regression', one_hot_encode=False, optimize_hyperparameters=True, ordinal_encode=True, ordinal_idx=[1, 2, 3], scale=True, seed=221, shuffle=True, target_encode=False, use_gpu=True, val_batch_size=256)
Start hyperparameter optimization
 Panda Version: 2.0.3
Loading dataset Diamonds...
Dataset loaded! 

X b4 encoding : [0.23 'Ideal' 'E' 'SI2' 61.5 55.0 3.95 3.98 2.43] 

(53940, 9)
Data Type of X: <class 'numpy.ndarray'>
Nominal Idx: None
Ordinal Idx: [1, 2, 3]
Cat Dims: None 
 

Normonal Idx: None
Cat Idx Part II: [1, 2, 3] 
ENDE 
 

X after Nominal Encoding: [0.23 'Ideal' 'E' 'SI2' 61.5 55.0 3.95 3.98 2.43] 
 

Scaling the data...
X after Scaling: [-1.1981678055010725 'Ideal' 'E' 'SI2' -0.1740915083097858
 -1.0996719906799668 -1.5878374489219242 -1.5361955629431636
 -1.5711291873012518] 
 

Using an existing study with name 'TabNet_Diamonds' instead of creating a new one.
In get_device
In get_device
epoch 0  | loss: 12251517.14596| eval_rmse: 1159.0435|  0:00:16s
epoch 1  | loss: 754203.53366| eval_rmse: 774.19859|  0:00:31s
epoch 2  | loss: 697357.86012| eval_rmse: 981.36428|  0:00:46s
epoch 3  | loss: 680671.53032| eval_rmse: 778.6279|  0:00:59s
epoch 4  | loss: 659943.94789| eval_rmse: 646.5805|  0:01:13s
epoch 5  | loss: 655242.88812| eval_rmse: 767.06836|  0:01:27s
epoch 6  | loss: 592734.39285| eval_rmse: 710.14283|  0:01:42s
epoch 7  | loss: 613217.89985| eval_rmse: 682.7142|  0:01:56s
epoch 8  | loss: 605153.18481| eval_rmse: 787.59656|  0:02:10s
epoch 9  | loss: 591864.64197| eval_rmse: 656.00565|  0:02:23s
epoch 10 | loss: 565193.20368| eval_rmse: 640.75819|  0:02:36s
epoch 11 | loss: 583026.54943| eval_rmse: 636.52725|  0:02:49s
epoch 12 | loss: 549321.17526| eval_rmse: 639.16129|  0:03:02s
epoch 13 | loss: 539944.96996| eval_rmse: 609.37122|  0:03:15s
epoch 14 | loss: 570300.44691| eval_rmse: 626.56269|  0:03:29s
epoch 15 | loss: 574902.05545| eval_rmse: 653.19145|  0:03:42s
epoch 16 | loss: 551751.2825| eval_rmse: 591.81985|  0:03:55s
epoch 17 | loss: 527877.41983| eval_rmse: 631.9447|  0:04:09s
epoch 18 | loss: 507572.9241| eval_rmse: 627.26341|  0:04:23s
epoch 19 | loss: 525515.59625| eval_rmse: 650.70095|  0:04:36s
