

----------------------------------------------------------------------------
Training TabNet Vesion 1 with Dataset: config/boston.yml 



----------------------------------------------------------------------------
 Panda Version: 2.0.3
Namespace(batch_size=128, cat_dims=None, cat_idx=None, config='config/boston.yml', data_parallel=False, dataset='Boston', direction='minimize', dropna_idx=None, early_stopping_rounds=20, epochs=100, gpu_ids=[0, 1], logging_period=100, miss_cat_idx=None, miss_num_idx=None, model_name='TabNet', n_trials=30, nominal_idx=[3], num_classes=1, num_features=13, num_idx=None, num_splits=5, objective='regression', one_hot_encode=True, optimize_hyperparameters=True, ordinal_encode=False, ordinal_idx=None, scale=True, seed=221, shuffle=True, target_encode=False, use_gpu=True, val_batch_size=256)
Start hyperparameter optimization
 Panda Version: 2.0.3
Loading dataset Boston...
Dataset loaded! 

X b4 encoding : [6.320e-03 1.800e+01 2.310e+00 0.000e+00 5.380e-01 6.575e+00 6.520e+01
 4.090e+00 1.000e+00 2.960e+02 1.530e+01 3.969e+02 4.980e+00] 

(506, 13)
Data Type of X: <class 'numpy.ndarray'>
Nominal Idx: [3]
Ordinal Idx: None
Cat Dims: None 
 

Normonal Idx: [3]
Cat Idx Part II: [3] 
ENDE 
 

X after Nominal Encoding: [6.320e-03 1.800e+01 2.310e+00 0.000e+00 5.380e-01 6.575e+00 6.520e+01
 4.090e+00 1.000e+00 2.960e+02 1.530e+01 3.969e+02 4.980e+00] 
 

Scaling the data...
X after Scaling: [-0.41978194  0.28482986 -1.2879095   0.         -0.14421743  0.41367189
 -0.12001342  0.1402136  -0.98284286 -0.66660821 -1.45900038  0.44105193
 -1.0755623 ] 
 

One Hot Encoding...
X after One Hot Encoding: [ 1.          0.         -0.41978194  0.28482986 -1.2879095  -0.14421743
  0.41367189 -0.12001342  0.1402136  -0.98284286 -0.66660821 -1.45900038
  0.44105193 -1.0755623 ] 
 

args.num_features: 14
args.cat_idx: None
Cat Dims: []
New Shape: (506, 14)
False 
 

Using an existing study with name 'TabNet_Boston' instead of creating a new one.
In get_device
In get_device
epoch 0  | loss: 497.14698| eval_rmse: 1015.99474|  0:00:00s
epoch 1  | loss: 347.21547| eval_rmse: 1629.66446|  0:00:00s
epoch 2  | loss: 263.54058| eval_rmse: 1833.2078|  0:00:01s
epoch 3  | loss: 177.53343| eval_rmse: 3502.06162|  0:00:01s
epoch 4  | loss: 117.24519| eval_rmse: 2732.83921|  0:00:01s
epoch 5  | loss: 82.60831| eval_rmse: 2652.30538|  0:00:02s
epoch 6  | loss: 78.45706| eval_rmse: 2702.22549|  0:00:02s
epoch 7  | loss: 64.41769| eval_rmse: 2469.96801|  0:00:02s
epoch 8  | loss: 43.57288| eval_rmse: 1488.88174|  0:00:02s
epoch 9  | loss: 43.78667| eval_rmse: 1234.03511|  0:00:03s
epoch 10 | loss: 44.4552 | eval_rmse: 1291.8883|  0:00:03s
epoch 11 | loss: 42.62385| eval_rmse: 1156.53648|  0:00:03s
epoch 12 | loss: 49.67984| eval_rmse: 1767.9288|  0:00:03s
epoch 13 | loss: 50.60156| eval_rmse: 2138.04865|  0:00:04s
epoch 14 | loss: 47.66603| eval_rmse: 2494.77799|  0:00:04s
epoch 15 | loss: 38.86224| eval_rmse: 1573.00417|  0:00:04s
epoch 16 | loss: 42.45906| eval_rmse: 1543.4118|  0:00:05s
epoch 17 | loss: 41.29545| eval_rmse: 1425.04752|  0:00:05s
epoch 18 | loss: 39.99121| eval_rmse: 1250.45852|  0:00:05s
epoch 19 | loss: 41.87034| eval_rmse: 917.75291|  0:00:05s
epoch 20 | loss: 37.60137| eval_rmse: 624.57805|  0:00:06s
epoch 21 | loss: 41.18613| eval_rmse: 659.55733|  0:00:06s
epoch 22 | loss: 43.90646| eval_rmse: 1771.25651|  0:00:06s
epoch 23 | loss: 35.36256| eval_rmse: 1183.10368|  0:00:07s
epoch 24 | loss: 31.09622| eval_rmse: 1035.9171|  0:00:07s
epoch 25 | loss: 33.63982| eval_rmse: 1072.1098|  0:00:07s
epoch 26 | loss: 29.27549| eval_rmse: 772.19838|  0:00:07s
epoch 27 | loss: 29.96828| eval_rmse: 511.87117|  0:00:08s
epoch 28 | loss: 30.89345| eval_rmse: 745.83943|  0:00:08s
epoch 29 | loss: 22.31483| eval_rmse: 662.12505|  0:00:08s
epoch 30 | loss: 20.28776| eval_rmse: 777.02166|  0:00:08s
epoch 31 | loss: 26.58468| eval_rmse: 790.0335|  0:00:09s
epoch 32 | loss: 37.47607| eval_rmse: 796.54356|  0:00:09s
epoch 33 | loss: 23.10788| eval_rmse: 729.71622|  0:00:09s
epoch 34 | loss: 25.90662| eval_rmse: 550.17935|  0:00:10s
epoch 35 | loss: 26.58054| eval_rmse: 533.83822|  0:00:10s
epoch 36 | loss: 23.33077| eval_rmse: 611.78721|  0:00:10s
epoch 37 | loss: 18.72261| eval_rmse: 537.98783|  0:00:10s
epoch 38 | loss: 23.59959| eval_rmse: 516.19106|  0:00:11s
epoch 39 | loss: 20.83307| eval_rmse: 467.69593|  0:00:11s
epoch 40 | loss: 22.12646| eval_rmse: 410.15013|  0:00:11s
epoch 41 | loss: 23.30076| eval_rmse: 294.15358|  0:00:12s
epoch 42 | loss: 20.23292| eval_rmse: 237.56645|  0:00:12s
epoch 43 | loss: 32.93455| eval_rmse: 227.66877|  0:00:12s
epoch 44 | loss: 31.39433| eval_rmse: 172.98477|  0:00:13s
epoch 45 | loss: 23.42189| eval_rmse: 123.83348|  0:00:13s
epoch 46 | loss: 21.42416| eval_rmse: 174.94767|  0:00:13s
epoch 47 | loss: 21.9355 | eval_rmse: 173.19011|  0:00:13s
epoch 48 | loss: 23.60879| eval_rmse: 138.70775|  0:00:14s
epoch 49 | loss: 22.24698| eval_rmse: 154.53682|  0:00:14s
epoch 50 | loss: 19.87543| eval_rmse: 165.56769|  0:00:14s
epoch 51 | loss: 19.5378 | eval_rmse: 191.58588|  0:00:15s
epoch 52 | loss: 21.52977| eval_rmse: 167.54576|  0:00:15s
epoch 53 | loss: 16.82021| eval_rmse: 143.17582|  0:00:15s
epoch 54 | loss: 16.81862| eval_rmse: 164.4873|  0:00:15s
epoch 55 | loss: 18.0821 | eval_rmse: 182.23294|  0:00:16s
epoch 56 | loss: 16.64346| eval_rmse: 163.76311|  0:00:16s
epoch 57 | loss: 13.79519| eval_rmse: 151.60451|  0:00:16s
epoch 58 | loss: 16.0254 | eval_rmse: 158.98866|  0:00:17s
epoch 59 | loss: 18.81897| eval_rmse: 160.65453|  0:00:17s
epoch 60 | loss: 22.62618| eval_rmse: 135.77344|  0:00:17s
epoch 61 | loss: 20.81608| eval_rmse: 138.33437|  0:00:17s
epoch 62 | loss: 19.20231| eval_rmse: 130.41313|  0:00:18s
epoch 63 | loss: 21.54601| eval_rmse: 100.89016|  0:00:18s
epoch 64 | loss: 19.41014| eval_rmse: 79.45812|  0:00:18s
epoch 65 | loss: 20.47456| eval_rmse: 82.33714|  0:00:18s
epoch 66 | loss: 16.29473| eval_rmse: 97.81256|  0:00:19s
epoch 67 | loss: 19.47615| eval_rmse: 100.369 |  0:00:19s
epoch 68 | loss: 21.57069| eval_rmse: 95.19484|  0:00:19s
epoch 69 | loss: 18.08027| eval_rmse: 97.69347|  0:00:20s
epoch 70 | loss: 20.50417| eval_rmse: 109.45885|  0:00:20s
epoch 71 | loss: 18.64825| eval_rmse: 132.50517|  0:00:20s
epoch 72 | loss: 15.26833| eval_rmse: 103.28159|  0:00:20s
epoch 73 | loss: 14.92984| eval_rmse: 97.04678|  0:00:21s
epoch 74 | loss: 14.33607| eval_rmse: 88.98076|  0:00:21s
epoch 75 | loss: 15.64657| eval_rmse: 95.61018|  0:00:21s
epoch 76 | loss: 19.55302| eval_rmse: 104.9962|  0:00:21s
epoch 77 | loss: 14.56612| eval_rmse: 88.09916|  0:00:22s
epoch 78 | loss: 14.27188| eval_rmse: 98.73729|  0:00:22s
epoch 79 | loss: 14.67858| eval_rmse: 91.84432|  0:00:22s
epoch 80 | loss: 13.25164| eval_rmse: 90.95274|  0:00:23s
epoch 81 | loss: 12.73898| eval_rmse: 94.04174|  0:00:23s
epoch 82 | loss: 13.74368| eval_rmse: 96.65332|  0:00:23s
epoch 83 | loss: 12.88697| eval_rmse: 84.17259|  0:00:23s
epoch 84 | loss: 15.1383 | eval_rmse: 77.69122|  0:00:24s
epoch 85 | loss: 13.32663| eval_rmse: 85.07142|  0:00:24s
epoch 86 | loss: 14.25397| eval_rmse: 82.3144 |  0:00:24s
epoch 87 | loss: 13.8844 | eval_rmse: 64.51253|  0:00:24s
epoch 88 | loss: 18.91142| eval_rmse: 54.65184|  0:00:25s
epoch 89 | loss: 17.22701| eval_rmse: 57.13579|  0:00:25s
epoch 90 | loss: 13.81662| eval_rmse: 64.62801|  0:00:25s
epoch 91 | loss: 15.47239| eval_rmse: 56.02736|  0:00:26s
epoch 92 | loss: 12.41539| eval_rmse: 49.92451|  0:00:26s
epoch 93 | loss: 12.67641| eval_rmse: 47.80648|  0:00:26s
epoch 94 | loss: 11.37361| eval_rmse: 53.7903 |  0:00:26s
epoch 95 | loss: 10.78777| eval_rmse: 48.41477|  0:00:27s
epoch 96 | loss: 11.3683 | eval_rmse: 50.57876|  0:00:27s
epoch 97 | loss: 13.88847| eval_rmse: 52.10357|  0:00:27s
epoch 98 | loss: 12.70614| eval_rmse: 46.70397|  0:00:28s
epoch 99 | loss: 12.64115| eval_rmse: 46.55959|  0:00:28s
Stop training because you reached max_epochs = 100 with best_epoch = 99 and best_eval_rmse = 46.55959
{'MSE - mean': 2167.7953584390793, 'MSE - std': 0.0, 'R2 - mean': -28.032343819779328, 'R2 - std': 0.0} 
 

In get_device
epoch 0  | loss: 495.10327| eval_rmse: 957.8121|  0:00:00s
epoch 1  | loss: 355.84418| eval_rmse: 1472.29523|  0:00:00s
epoch 2  | loss: 250.44364| eval_rmse: 2148.48439|  0:00:00s
epoch 3  | loss: 147.02351| eval_rmse: 2856.15338|  0:00:01s
epoch 4  | loss: 108.92796| eval_rmse: 3785.53454|  0:00:01s
epoch 5  | loss: 82.17108| eval_rmse: 3289.36525|  0:00:01s
epoch 6  | loss: 76.14559| eval_rmse: 2442.3786|  0:00:01s
epoch 7  | loss: 62.60747| eval_rmse: 1497.18015|  0:00:02s
epoch 8  | loss: 53.88039| eval_rmse: 1714.68938|  0:00:02s
epoch 9  | loss: 46.29835| eval_rmse: 1394.88372|  0:00:02s
epoch 10 | loss: 36.51919| eval_rmse: 1775.58468|  0:00:03s
epoch 11 | loss: 38.18332| eval_rmse: 1352.98394|  0:00:03s
epoch 12 | loss: 39.20225| eval_rmse: 1592.05492|  0:00:03s
epoch 13 | loss: 35.43501| eval_rmse: 1229.01483|  0:00:03s
epoch 14 | loss: 29.26365| eval_rmse: 1629.71254|  0:00:04s
epoch 15 | loss: 38.61028| eval_rmse: 1218.15574|  0:00:04s
epoch 16 | loss: 36.53416| eval_rmse: 1114.64975|  0:00:04s
epoch 17 | loss: 36.33788| eval_rmse: 1112.16799|  0:00:04s
epoch 18 | loss: 35.49801| eval_rmse: 599.40458|  0:00:05s
epoch 19 | loss: 40.48819| eval_rmse: 727.2926|  0:00:05s
epoch 20 | loss: 33.66858| eval_rmse: 518.76615|  0:00:05s
epoch 21 | loss: 29.54382| eval_rmse: 476.4373|  0:00:06s
epoch 22 | loss: 45.70712| eval_rmse: 380.82737|  0:00:06s
epoch 23 | loss: 45.29922| eval_rmse: 487.88441|  0:00:06s
epoch 24 | loss: 40.20221| eval_rmse: 637.37242|  0:00:06s
epoch 25 | loss: 39.26733| eval_rmse: 438.04212|  0:00:07s
epoch 26 | loss: 36.88185| eval_rmse: 410.76683|  0:00:07s
epoch 27 | loss: 43.70929| eval_rmse: 358.20525|  0:00:07s
epoch 28 | loss: 39.3573 | eval_rmse: 414.51087|  0:00:08s
epoch 29 | loss: 39.63205| eval_rmse: 400.36276|  0:00:08s
epoch 30 | loss: 46.56475| eval_rmse: 420.17534|  0:00:08s
epoch 31 | loss: 39.80064| eval_rmse: 315.66255|  0:00:08s
epoch 32 | loss: 34.40481| eval_rmse: 289.96121|  0:00:09s
epoch 33 | loss: 29.15205| eval_rmse: 374.78204|  0:00:09s
epoch 34 | loss: 26.28582| eval_rmse: 530.24123|  0:00:09s
epoch 35 | loss: 32.45923| eval_rmse: 426.37924|  0:00:10s
epoch 36 | loss: 22.17217| eval_rmse: 409.43466|  0:00:10s
epoch 37 | loss: 26.65007| eval_rmse: 522.83874|  0:00:10s
epoch 38 | loss: 37.56764| eval_rmse: 337.83863|  0:00:10s
epoch 39 | loss: 28.88684| eval_rmse: 677.86623|  0:00:11s
epoch 40 | loss: 31.28362| eval_rmse: 549.87637|  0:00:11s
epoch 41 | loss: 24.81508| eval_rmse: 239.97834|  0:00:11s
epoch 42 | loss: 26.76735| eval_rmse: 238.92865|  0:00:12s
epoch 43 | loss: 26.3935 | eval_rmse: 271.46051|  0:00:12s
epoch 44 | loss: 22.42552| eval_rmse: 345.84061|  0:00:12s
epoch 45 | loss: 22.04196| eval_rmse: 359.44286|  0:00:13s
epoch 46 | loss: 24.7667 | eval_rmse: 367.40096|  0:00:13s
epoch 47 | loss: 27.2646 | eval_rmse: 394.25785|  0:00:13s
epoch 48 | loss: 21.15152| eval_rmse: 382.1026|  0:00:13s
epoch 49 | loss: 23.43572| eval_rmse: 294.44293|  0:00:14s
epoch 50 | loss: 19.32756| eval_rmse: 279.09578|  0:00:14s
epoch 51 | loss: 16.40845| eval_rmse: 280.84128|  0:00:14s
epoch 52 | loss: 22.84111| eval_rmse: 279.86909|  0:00:15s
epoch 53 | loss: 20.80607| eval_rmse: 341.71781|  0:00:15s
epoch 54 | loss: 23.29104| eval_rmse: 360.41553|  0:00:15s
epoch 55 | loss: 20.24386| eval_rmse: 335.82369|  0:00:15s
epoch 56 | loss: 18.66755| eval_rmse: 271.67947|  0:00:16s
epoch 57 | loss: 18.40577| eval_rmse: 254.53345|  0:00:16s
epoch 58 | loss: 18.12692| eval_rmse: 273.26721|  0:00:16s
epoch 59 | loss: 17.56828| eval_rmse: 315.91481|  0:00:16s
epoch 60 | loss: 15.04675| eval_rmse: 358.56179|  0:00:17s
epoch 61 | loss: 15.84935| eval_rmse: 342.28273|  0:00:17s
epoch 62 | loss: 13.54708| eval_rmse: 359.93559|  0:00:17s

Early stopping occurred at epoch 62 with best_epoch = 42 and best_eval_rmse = 238.92865
{'MSE - mean': 29627.346575176864, 'MSE - std': 27459.551216737786, 'R2 - mean': -367.91654211369234, 'R2 - std': 339.88419829391296} 
 

In get_device
epoch 0  | loss: 476.08709| eval_rmse: 1229.94686|  0:00:00s
epoch 1  | loss: 322.05605| eval_rmse: 1554.47984|  0:00:00s
epoch 2  | loss: 224.23957| eval_rmse: 2827.38984|  0:00:00s
epoch 3  | loss: 136.32281| eval_rmse: 3253.66938|  0:00:01s
epoch 4  | loss: 99.44221| eval_rmse: 2964.10266|  0:00:01s
epoch 5  | loss: 84.98973| eval_rmse: 3031.98894|  0:00:01s
epoch 6  | loss: 102.01669| eval_rmse: 2857.49299|  0:00:01s
epoch 7  | loss: 97.88975| eval_rmse: 2429.95286|  0:00:02s
epoch 8  | loss: 61.84703| eval_rmse: 1857.41609|  0:00:02s
epoch 9  | loss: 59.21083| eval_rmse: 1923.58653|  0:00:02s
epoch 10 | loss: 48.27013| eval_rmse: 1487.53601|  0:00:03s
epoch 11 | loss: 56.49173| eval_rmse: 1453.28898|  0:00:03s
epoch 12 | loss: 47.94145| eval_rmse: 1566.33815|  0:00:03s
epoch 13 | loss: 51.2134 | eval_rmse: 1703.53212|  0:00:03s
epoch 14 | loss: 56.30018| eval_rmse: 1696.39762|  0:00:04s
epoch 15 | loss: 50.64521| eval_rmse: 1543.57277|  0:00:04s
epoch 16 | loss: 56.81569| eval_rmse: 954.22039|  0:00:04s
epoch 17 | loss: 39.32627| eval_rmse: 661.40458|  0:00:04s
epoch 18 | loss: 48.24298| eval_rmse: 720.39322|  0:00:05s
epoch 19 | loss: 43.39149| eval_rmse: 686.45726|  0:00:05s
