Namespace(batch_size=128, cat_dims=None, cat_idx=[3], config='config/boston.yml', data_parallel=False, dataset='Boston', direction='minimize', early_stopping_rounds=20, epochs=1000, gpu_ids=[0, 1], logging_period=100, model_name='VIME', n_trials=10, num_classes=1, num_features=13, num_splits=5, objective='regression', one_hot_encode=True, optimize_hyperparameters=True, scale=True, seed=221, shuffle=True, target_encode=False, use_gpu=True, val_batch_size=256)
Start hyperparameter optimization
Loading dataset Boston...
Dataset loaded!
(506, 13)
Scaling the data...
args.num_features: 14
New Shape: (506, 14)
A new study created in RDB with name: VIME_Boston
In get_device
On Device: cuda
In get_device
On Device: cuda
Fitted encoder
Epoch 0, Val Loss: 545.56934
Epoch 1, Val Loss: 538.50110
Epoch 2, Val Loss: 525.58643
Epoch 3, Val Loss: 500.63330
Epoch 4, Val Loss: 454.36874
Epoch 5, Val Loss: 373.81546
Epoch 6, Val Loss: 250.85686
Epoch 7, Val Loss: 117.82461
Epoch 8, Val Loss: 79.28708
Epoch 9, Val Loss: 64.08661
Epoch 10, Val Loss: 65.29682
Epoch 11, Val Loss: 90.62847
Epoch 12, Val Loss: 96.44118
Epoch 13, Val Loss: 76.71599
Epoch 14, Val Loss: 54.79777
Epoch 15, Val Loss: 49.85308
Epoch 16, Val Loss: 49.03115
Epoch 17, Val Loss: 50.04501
Epoch 18, Val Loss: 54.11380
Epoch 19, Val Loss: 51.55361
Epoch 20, Val Loss: 44.18128
Epoch 21, Val Loss: 40.56427
Epoch 22, Val Loss: 40.53519
Epoch 23, Val Loss: 41.33162
Epoch 24, Val Loss: 40.99128
Epoch 25, Val Loss: 39.36765
Epoch 26, Val Loss: 38.51172
Epoch 27, Val Loss: 37.85392
Epoch 28, Val Loss: 37.33746
Epoch 29, Val Loss: 37.42832
Epoch 30, Val Loss: 36.87433
Epoch 31, Val Loss: 35.54918
Epoch 32, Val Loss: 35.25114
Epoch 33, Val Loss: 34.82371
Epoch 34, Val Loss: 35.61858
Epoch 35, Val Loss: 34.47240
Epoch 36, Val Loss: 33.25331
Epoch 37, Val Loss: 33.91364
Epoch 38, Val Loss: 34.10034
Epoch 39, Val Loss: 32.99345
Epoch 40, Val Loss: 32.09454
Epoch 41, Val Loss: 32.96700
Epoch 42, Val Loss: 32.51374
Epoch 43, Val Loss: 31.86257
Epoch 44, Val Loss: 32.76477
Epoch 45, Val Loss: 33.25364
Epoch 46, Val Loss: 31.76667
Epoch 47, Val Loss: 31.71391
Epoch 48, Val Loss: 31.98971
Epoch 49, Val Loss: 30.99591
Epoch 50, Val Loss: 31.61274
Epoch 51, Val Loss: 30.81813
Epoch 52, Val Loss: 30.38099
Epoch 53, Val Loss: 30.98550
Epoch 54, Val Loss: 31.64458
Epoch 55, Val Loss: 30.79673
Epoch 56, Val Loss: 30.96035
Epoch 57, Val Loss: 29.88864
Epoch 58, Val Loss: 29.43353
Epoch 59, Val Loss: 32.07903
Epoch 60, Val Loss: 31.25924
Epoch 61, Val Loss: 30.46970
Epoch 62, Val Loss: 30.67149
Epoch 63, Val Loss: 30.58847
Epoch 64, Val Loss: 30.66330
Epoch 65, Val Loss: 29.39549
Epoch 66, Val Loss: 29.53314
Epoch 67, Val Loss: 30.49158
Epoch 68, Val Loss: 30.08110
Epoch 69, Val Loss: 29.09145
Epoch 70, Val Loss: 29.54011
Epoch 71, Val Loss: 29.80352
Epoch 72, Val Loss: 29.59707
Epoch 73, Val Loss: 29.19823
Epoch 74, Val Loss: 29.21236
Epoch 75, Val Loss: 28.90565
Epoch 76, Val Loss: 30.05576
Epoch 77, Val Loss: 30.63659
Epoch 78, Val Loss: 28.70111
Epoch 79, Val Loss: 28.65299
Epoch 80, Val Loss: 30.05983
Epoch 81, Val Loss: 28.70874
Epoch 82, Val Loss: 29.74682
Epoch 83, Val Loss: 29.75299
