Dataset: Abalone , Bins: sturges, Train Classes: 12, Test Classes: 11
Dataset: Black_Friday , Bins: sturges, Train Classes: 17, Test Classes: 17
Dataset: Boston , Bins: sturges, Train Classes: 8, Test Classes: 8
Dataset: Brazillian_Houses , Bins: sturges, Train Classes: 13, Test Classes: 12
Dataset: Diamonds , Bins: sturges, Train Classes: 15, Test Classes: 15
Dataset: House_Prices_Nominal , Bins: sturges, Train Classes: 10, Test Classes: 9
Dataset: House_Sales , Bins: sturges, Train Classes: 14, Test Classes: 13
Dataset: Mercedes_Benz , Bins: sturges, Train Classes: 12, Test Classes: 12
Dataset: MIP , Bins: sturges, Train Classes: 10, Test Classes: 10
Dataset: Moneyball , Bins: sturges, Train Classes: 10, Test Classes: 10
Dataset: SAT11 , Bins: sturges, Train Classes: 10, Test Classes: 10
Dataset: Sensory , Bins: sturges, Train Classes: 9, Test Classes: 9
Dataset: Socmob , Bins: sturges, Train Classes: 10, Test Classes: 9


Dataset: Abalone , Bins: freedman, Train Classes: 24, Test Classes: 23
Dataset: Black_Friday , Bins: freedman, Train Classes: 67, Test Classes: 67
Dataset: Boston , Bins: freedman, Train Classes: 20, Test Classes: 19
Dataset: Brazillian_Houses , Bins: freedman, Train Classes: 2074, Test Classes: 1595
Dataset: Diamonds , Bins: freedman, Train Classes: 63, Test Classes: 63
Dataset: House_Prices_Nominal , Bins: freedman, Train Classes: 37, Test Classes: 34
Dataset: House_Sales , Bins: freedman, Train Classes: 241, Test Classes: 216
Dataset: Mercedes_Benz , Bins: freedman, Train Classes: 34, Test Classes: 31
Dataset: MIP , Bins: freedman, Train Classes: 144, Test Classes: 97
Dataset: Moneyball , Bins: freedman, Train Classes: 20, Test Classes: 20
Dataset: SAT11 , Bins: freedman, Train Classes: 5, Test Classes: 5
Dataset: Sensory , Bins: freedman, Train Classes: 10, Test Classes: 10
Dataset: Socmob , Bins: freedman, Train Classes: 119, Test Classes: 102
