iter	RMSE
0	2.933605841
1	2.746522852
2	2.598684947
3	2.493502178
4	2.430682085
5	2.368852209
6	2.327341575
7	2.290707893
8	2.244887547
9	2.212526026
10	2.185712086
11	2.170792237
12	2.151490396
13	2.135469737
14	2.13081491
15	2.11729095
16	2.114310303
17	2.108498658
18	2.096970371
19	2.087433363
20	2.078193582
21	2.077534944
22	2.074944211
23	2.066173603
24	2.060791233
25	2.056018289
26	2.05196234
27	2.050385814
28	2.042906711
29	2.035909642
30	2.033769455
31	2.030962986
32	2.027991189
33	2.024376764
34	2.022348637
35	2.019730374
36	2.017443541
37	2.014873217
38	2.012511607
39	2.008980096
40	2.006009527
41	2.001948377
42	2.000346822
43	1.997343078
44	1.995089243
45	1.993357065
46	1.990503894
47	1.989486299
48	1.985962473
49	1.980399368
50	1.974879778
51	1.970447086
52	1.969258508
53	1.964634661
54	1.96320257
55	1.960854581
56	1.959200045
57	1.956970519
58	1.956360389
59	1.950004502
60	1.948104371
61	1.94552685
62	1.943576412
63	1.943398996
64	1.94257139
65	1.940070338
66	1.939373229
67	1.9390531
68	1.935231054
69	1.932669854
70	1.932014012
71	1.929979895
72	1.922553793
73	1.920756355
74	1.920356281
75	1.917117175
76	1.915092106
77	1.912962094
78	1.912598128
79	1.911828949
80	1.910882848
81	1.907621452
82	1.90457879
83	1.902637518
84	1.902434012
85	1.90175814
86	1.900158949
87	1.899793683
88	1.896799856
89	1.895383805
90	1.895232482
91	1.891710489
92	1.890561978
93	1.887489649
94	1.884725519
95	1.88304956
96	1.879923452
97	1.877444858
98	1.875508998
99	1.874428976
