iter	Passed	Remaining
0	3	360
1	5	269
2	7	237
3	9	220
4	10	208
5	12	200
6	14	193
7	16	188
8	18	184
9	19	179
10	21	176
11	23	173
12	25	170
13	27	167
14	29	164
15	30	161
16	32	159
17	34	156
18	36	154
19	38	152
20	39	149
21	41	147
22	43	145
23	45	143
24	47	141
25	48	139
26	50	136
27	52	134
28	54	132
29	56	130
30	57	128
31	59	126
32	61	124
33	63	122
34	65	120
35	66	118
36	68	116
37	70	114
38	72	113
39	74	111
40	75	109
41	77	107
42	79	105
43	83	106
44	85	104
45	87	102
46	89	100
47	91	98
48	92	96
49	94	94
50	96	92
51	98	90
52	100	88
53	101	86
54	103	84
55	105	82
56	107	80
57	109	78
58	110	77
59	112	75
60	114	73
61	116	71
62	118	69
63	119	67
64	121	65
65	123	63
66	125	61
67	127	59
68	128	57
69	130	56
70	132	54
71	134	52
72	136	50
73	137	48
74	139	46
75	141	44
76	143	42
77	145	40
78	146	39
79	148	37
80	150	35
81	152	33
82	154	31
83	155	29
84	157	27
85	159	25
86	161	24
87	163	22
88	164	20
89	166	18
90	168	16
91	170	14
92	172	12
93	173	11
94	175	9
95	177	7
96	179	5
97	181	3
98	183	1
99	185	0
