iter	RMSE
0	0.9032352712
1	0.8402677587
2	0.8003438538
3	0.7719601279
4	0.7492361639
5	0.732263406
6	0.7167992502
7	0.7052465317
8	0.6962851469
9	0.6880963808
10	0.6789646893
11	0.6729916942
12	0.6663275041
13	0.661342674
14	0.6573802582
15	0.6542256401
16	0.6516547538
17	0.6489256402
18	0.6464992839
19	0.6442540974
20	0.6417626988
21	0.6399357666
22	0.6385156597
23	0.6365185113
24	0.6352839902
25	0.6332551628
26	0.6314021367
27	0.6295621075
28	0.6284343402
29	0.627131947
30	0.6258094091
31	0.6247420054
32	0.6234448747
33	0.622454299
34	0.6210430155
35	0.6204202274
36	0.6193337227
37	0.618136157
38	0.6175515513
39	0.6158809677
40	0.6145124455
41	0.6135378084
42	0.6131252727
43	0.612120471
44	0.610854029
45	0.6100119573
46	0.6094700671
47	0.6082555029
48	0.6074382749
49	0.6068503363
50	0.6060605114
51	0.6054930233
52	0.6043810571
53	0.6035822619
54	0.6029501079
55	0.6024491751
56	0.6018011133
57	0.6010630815
58	0.6004344591
59	0.5995283146
60	0.5991983954
61	0.5987318795
62	0.5982515123
63	0.5978477542
64	0.5973900448
65	0.5966425238
66	0.5957055761
67	0.5949037094
68	0.5937250993
69	0.5927417581
70	0.5922276726
71	0.5918187183
72	0.5913170551
73	0.5909225298
74	0.5906115454
75	0.5899584263
76	0.5890706406
77	0.5884363098
78	0.5877833675
79	0.5872844736
80	0.5868665433
81	0.5864672909
82	0.5857924487
83	0.5852868075
84	0.5847707263
85	0.5838509299
86	0.5835972075
87	0.5832407971
88	0.5829100397
89	0.5826035547
90	0.5819861799
91	0.5816316889
92	0.5813495782
93	0.5812284303
94	0.5808279629
95	0.5803423552
96	0.5798086005
97	0.5795066139
98	0.5792883728
99	0.5788384565
