iter	Passed	Remaining
0	63	6331
1	121	5945
2	161	5211
3	197	4743
4	235	4469
5	272	4272
6	308	4104
7	346	3990
8	394	3984
9	432	3896
10	470	3809
11	509	3737
12	547	3662
13	584	3591
14	621	3524
15	658	3459
16	695	3394
17	732	3336
18	768	3277
19	805	3221
20	841	3165
21	878	3115
22	915	3066
23	953	3018
24	989	2968
25	1026	2920
26	1064	2876
27	1101	2831
28	1137	2785
29	1174	2740
30	1211	2696
31	1247	2651
32	1285	2608
33	1320	2563
34	1357	2520
35	1393	2477
36	1430	2436
37	1468	2396
38	1506	2355
39	1542	2314
40	1579	2273
41	1616	2232
42	1653	2191
43	1689	2150
44	1725	2109
45	1762	2068
46	1798	2028
47	1834	1987
48	1872	1948
49	1908	1908
50	1945	1869
51	1983	1830
52	2020	1792
53	2057	1752
54	2094	1714
55	2132	1675
56	2168	1635
57	2205	1597
58	2242	1558
59	2279	1519
60	2316	1480
61	2353	1442
62	2389	1403
63	2428	1366
64	2465	1327
65	2502	1289
66	2539	1250
67	2578	1213
68	2614	1174
69	2653	1137
70	2690	1099
71	2728	1061
72	2766	1023
73	2804	985
74	2842	947
75	2882	910
76	2920	872
77	2959	834
78	2998	797
79	3037	759
80	3076	721
81	3116	684
82	3155	646
83	3195	608
84	3234	570
85	3273	532
86	3311	494
87	3350	456
88	3389	418
89	3428	380
90	3467	342
91	3506	304
92	3545	266
93	3585	228
94	3624	190
95	3663	152
96	3702	114
97	3741	76
98	3780	38
99	3820	0
