iter	RMSE
0	0.9178309654
1	0.8608657976
2	0.8221871212
3	0.7963079994
4	0.7791928925
5	0.760974341
6	0.7493172398
7	0.7401482406
8	0.7344401315
9	0.7305620048
10	0.7279789902
11	0.726173052
12	0.721899455
13	0.7194860581
14	0.7141749894
15	0.7099364238
16	0.7068415811
17	0.7048260844
18	0.7037253633
19	0.7024635458
20	0.700020792
21	0.6981588847
22	0.6971328692
23	0.6958117809
24	0.6946561919
25	0.6934326667
26	0.6924426602
27	0.6917441104
28	0.6912884366
29	0.6908690701
30	0.6905624556
31	0.6898947923
32	0.6889413756
33	0.6875885615
34	0.6871944954
35	0.6871874237
36	0.6859416847
37	0.6846937734
38	0.6842550955
39	0.6837959777
40	0.68366641
41	0.6834915318
42	0.6831267996
43	0.6825871767
44	0.6820444647
45	0.6814395173
46	0.680845175
47	0.6808051553
48	0.6807705918
49	0.6802072984
50	0.6799502113
51	0.6792082723
52	0.6789893769
53	0.6786796814
54	0.6784044449
55	0.6775500326
56	0.6773818137
57	0.677294457
58	0.6771999614
59	0.6767638579
60	0.675950426
61	0.6756498624
62	0.675649273
63	0.6750836222
64	0.674846162
65	0.6741019171
66	0.6740476581
67	0.673495581
68	0.6728675308
69	0.6728456473
70	0.6722626175
71	0.6721674076
72	0.6721445386
73	0.6719342835
74	0.6706838282
75	0.6705026472
76	0.6704978685
77	0.670004525
78	0.6696194122
79	0.669317182
80	0.6689309723
81	0.6688738354
82	0.6688548549
83	0.6688433235
84	0.6688004025
85	0.6686965615
86	0.6686868414
87	0.6685695735
88	0.6677304961
89	0.6676101307
90	0.6675972121
91	0.6675826976
92	0.6675786394
93	0.6675616025
94	0.667557055
95	0.6670422723
96	0.6666825974
97	0.6666194668
98	0.6660718135
99	0.6656322016
