iter	Passed	Remaining
0	4	404
1	9	458
2	13	439
3	15	383
4	25	491
5	35	561
6	39	520
7	49	567
8	59	600
9	69	626
10	79	644
11	89	656
12	99	667
13	109	673
14	119	678
15	129	682
16	141	688
17	151	691
18	162	691
19	173	692
20	183	689
21	193	685
22	204	683
23	214	678
24	224	674
25	234	668
26	244	661
27	254	655
28	265	649
29	275	643
30	286	637
31	296	630
32	306	623
33	317	616
34	327	608
35	337	600
36	347	592
37	358	584
38	369	577
39	379	569
40	390	562
41	401	554
42	411	545
43	422	537
44	432	528
45	442	519
46	453	511
47	464	502
48	474	493
49	484	484
50	495	476
51	505	466
52	516	458
53	527	448
54	537	439
55	547	430
56	558	421
57	568	411
58	579	402
59	589	393
60	601	384
61	611	374
62	621	365
63	632	356
64	644	346
65	655	337
66	666	328
67	676	318
68	687	308
69	697	298
70	708	289
71	718	279
72	729	269
73	740	260
74	751	250
75	761	240
76	772	230
77	783	220
78	793	211
79	804	201
80	814	191
81	825	181
82	835	171
83	846	161
84	856	151
85	867	141
86	877	131
87	887	120
88	897	110
89	908	100
90	919	90
91	930	80
92	940	70
93	950	60
94	961	50
95	971	40
96	982	30
97	992	20
98	1003	10
99	1014	0
