iter	Passed	Remaining
0	2	207
1	3	179
2	5	183
3	7	176
4	9	176
5	10	170
6	12	167
7	14	164
8	16	165
9	17	159
10	19	158
11	21	154
12	22	152
13	23	147
14	25	143
15	26	140
16	28	138
17	30	136
18	31	134
19	33	132
20	34	130
21	36	128
22	37	126
23	39	125
24	41	123
25	43	122
26	44	120
27	46	119
28	47	116
29	49	115
30	51	113
31	52	111
32	54	110
33	55	108
34	57	106
35	59	105
36	60	103
37	62	101
38	63	99
39	65	98
40	66	96
41	68	94
42	69	92
43	71	91
44	73	89
45	74	87
46	76	86
47	78	84
48	79	82
49	81	81
50	82	79
51	84	77
52	85	76
53	87	74
54	88	72
55	90	70
56	91	69
57	93	67
58	94	65
59	96	64
60	97	62
61	99	61
62	101	59
63	102	57
64	104	56
65	106	54
66	107	52
67	109	51
68	110	49
69	112	48
70	113	46
71	115	44
72	116	43
73	118	41
74	119	39
75	121	38
76	122	36
77	124	35
78	125	33
79	127	31
80	128	30
81	130	28
82	131	26
83	133	25
84	134	23
85	136	22
86	138	20
87	139	19
88	141	17
89	143	15
90	144	14
91	146	12
92	148	11
93	149	9
94	151	7
95	153	6
96	154	4
97	156	3
98	158	1
99	159	0
