iter	RMSE
0	3272.275724
1	2731.345485
2	2325.481778
3	2027.421174
4	1812.979581
5	1662.121583
6	1558.909975
7	1487.937962
8	1337.620752
9	1234.639685
10	1161.037757
11	1041.377349
12	945.7352251
13	882.0920694
14	818.4315013
15	770.5800501
16	734.3999632
17	709.5807386
18	690.8156335
19	669.1623262
20	653.6842565
21	640.8270148
22	631.154708
23	621.9773079
24	617.4824243
25	609.6516216
26	604.5970574
27	600.5625147
28	594.9354514
29	591.07035
30	588.9728092
31	587.0677094
32	582.4772993
33	578.0205158
34	575.7554789
35	573.140225
36	571.8623065
37	569.4229202
38	567.2199859
39	565.2518603
40	562.3344952
41	560.2995544
42	559.1935716
43	557.3435377
44	555.0965149
45	553.5903964
46	551.0943762
47	548.0014885
48	546.2914726
49	544.6457159
50	542.6994858
51	540.5963886
52	539.415105
53	537.8135221
54	536.5645757
55	534.6602773
56	533.8469088
57	532.902889
58	531.2864987
59	528.0695003
60	526.705664
61	525.2317404
62	523.7910918
63	522.7766261
64	520.8365195
65	519.1856948
66	517.3944362
67	516.7852025
68	515.4828933
69	514.515419
70	513.4795548
71	512.0902312
72	511.5156682
73	510.1414171
74	507.8536454
75	506.9846825
76	504.8971305
77	503.1998639
78	501.4128796
79	499.6880124
80	498.6785236
81	497.9316984
82	496.9276672
83	495.1852123
84	493.6682786
85	492.5410989
86	491.2526285
87	490.5014634
88	489.5395883
89	488.2116283
90	486.44649
91	484.8930435
92	484.0568397
93	482.9000515
94	482.3741803
95	481.766666
96	480.5096047
97	479.9698174
98	479.1178892
99	478.6669662
