iter	Passed	Remaining
0	17	1762
1	34	1680
2	50	1644
3	67	1612
4	83	1586
5	99	1564
6	114	1523
7	129	1492
8	146	1478
9	162	1461
10	179	1451
11	196	1439
12	211	1417
13	227	1396
14	242	1376
15	258	1358
16	275	1344
17	290	1325
18	307	1309
19	323	1294
20	340	1279
21	354	1255
22	368	1234
23	385	1219
24	400	1201
25	415	1181
26	430	1165
27	445	1146
28	460	1128
29	474	1107
30	489	1089
31	505	1074
32	521	1058
33	536	1041
34	552	1025
35	567	1009
36	583	993
37	598	977
38	615	962
39	631	946
40	646	930
41	662	915
42	679	900
43	696	886
44	712	870
45	727	853
46	744	838
47	760	823
48	776	808
49	792	792
50	808	777
51	823	760
52	839	744
53	855	728
54	870	712
55	885	696
56	901	680
57	918	664
58	932	647
59	947	631
60	962	615
61	979	600
62	995	584
63	1011	568
64	1026	552
65	1042	537
66	1057	520
67	1073	505
68	1089	489
69	1105	473
70	1122	458
