iter	RMSE
0	72664.12026
1	65508.10365
2	59193.8954
3	53983.95518
4	49312.67118
5	45552.06617
6	42058.81473
7	39048.72303
8	37104.3247
9	34687.69266
10	32707.29137
11	31286.66404
12	29923.78861
13	28853.38322
14	27769.29658
15	26798.54586
16	25862.37708
17	25104.90568
18	24618.11574
19	24100.95094
20	23527.05171
21	23151.06624
22	22681.3028
23	22281.42644
24	21799.87965
25	21292.17919
26	20942.25513
27	20750.92039
28	20479.68972
29	20244.6172
30	20053.72536
31	19897.47574
32	19712.31311
33	19434.35205
34	19190.83909
35	19096.37057
36	18949.79993
37	18848.50049
38	18745.35092
39	18582.95642
40	18505.23806
41	18373.94816
42	18241.65414
43	18018.3057
44	17904.2749
45	17805.66658
46	17680.27362
47	17569.93657
48	17400.45203
49	17338.38053
50	17219.63031
51	17069.87495
52	16905.57636
53	16850.5574
54	16786.451
55	16692.48204
56	16547.14069
57	16466.26436
58	16367.67423
59	16244.27492
60	16115.85714
61	16054.20036
62	15989.67426
63	15864.143
64	15795.76122
65	15721.16219
66	15611.42803
67	15474.51196
68	15370.18475
69	15286.69494
70	15205.72432
71	15076.81277
72	14972.15733
73	14925.35824
74	14875.16316
75	14800.36146
76	14699.47873
77	14660.21594
78	14600.91052
79	14544.6451
80	14505.10295
81	14443.38791
82	14388.93066
83	14318.27476
84	14251.50343
85	14200.50203
86	14141.3478
87	14079.61394
88	14038.9179
89	13979.92631
90	13935.83882
91	13892.35359
92	13852.116
93	13769.32822
94	13684.52316
95	13665.92319
96	13607.44022
97	13568.56086
98	13507.36931
99	13454.24112
