iter	Passed	Remaining
0	2	216
1	3	175
2	4	160
3	6	152
4	7	147
5	9	143
6	10	140
7	11	137
8	13	135
9	14	132
10	16	130
11	17	128
12	18	126
13	20	123
14	21	122
15	22	120
16	24	118
17	25	116
18	27	115
19	28	113
20	29	111
21	31	109
22	32	108
23	33	106
24	35	105
25	36	103
26	37	102
27	39	101
28	40	99
29	42	98
30	43	96
31	44	95
32	46	93
33	47	92
34	48	90
35	50	89
36	51	87
37	52	86
38	54	84
39	55	83
40	57	82
41	58	80
42	59	79
43	61	77
44	62	76
45	63	74
46	65	73
47	66	72
48	67	70
49	69	69
50	70	67
51	72	66
52	73	65
53	74	63
54	76	62
55	77	60
56	78	59
57	80	58
58	81	56
59	82	55
60	84	53
61	85	52
62	86	51
63	88	49
64	89	48
65	90	46
66	92	45
67	93	44
68	94	42
69	96	41
70	97	39
71	98	38
72	100	37
73	101	35
74	102	34
75	104	32
76	105	31
77	107	30
78	108	28
79	109	27
80	111	26
81	112	24
82	113	23
83	115	21
84	116	20
85	117	19
86	119	17
87	120	16
88	122	15
89	123	13
90	124	12
91	126	10
92	127	9
93	128	8
94	130	6
95	131	5
96	132	4
97	134	2
98	135	1
99	136	0
