iter	RMSE
0	0.8724983563
1	0.7765497072
2	0.6946368639
3	0.6266532464
4	0.5772145449
5	0.5324922625
6	0.4995329557
7	0.4717681083
8	0.4487866193
9	0.4208826743
10	0.3991593103
11	0.3868011278
12	0.3737581783
13	0.3645200276
14	0.353496245
15	0.3452309748
16	0.3396035173
17	0.3346654104
18	0.330339546
19	0.3272795336
20	0.3221924603
21	0.3182778431
22	0.3151731252
23	0.3131936441
24	0.3101013924
25	0.3077248507
26	0.30543354
27	0.3035399133
28	0.3007615564
29	0.2991701632
30	0.2953988027
31	0.2929417457
32	0.2913471978
33	0.2887123902
34	0.2871601149
35	0.2862200437
36	0.2843466786
37	0.2827041874
38	0.28089418
39	0.279157237
40	0.2755569415
41	0.274057158
42	0.2715006332
43	0.2700391368
44	0.2687155671
45	0.2676915871
46	0.266099763
47	0.2648189742
48	0.2623443809
49	0.2610395798
50	0.2598177838
51	0.2588306487
52	0.2569268229
53	0.2554072881
54	0.2544398335
55	0.2531900312
56	0.2520715485
57	0.2509608404
58	0.2498374447
59	0.2490926411
60	0.2474543535
61	0.2464363711
62	0.2454558822
63	0.2444875804
64	0.2433602164
65	0.2421571681
66	0.2415983764
67	0.2408181316
68	0.2395954024
69	0.2386934017
70	0.2377355539
71	0.2367767675
72	0.2361307713
73	0.2354047783
74	0.234374791
75	0.2335055453
76	0.232808451
77	0.2319263316
78	0.231233108
79	0.2302335785
80	0.2294318649
81	0.2286271783
82	0.2276969842
83	0.2266535248
84	0.2254712729
85	0.2250376188
86	0.2242819606
87	0.223714253
88	0.2233283322
89	0.222610068
90	0.2220842815
91	0.2208844226
92	0.220364863
93	0.2198522005
94	0.2191262558
95	0.2186844868
96	0.2178002569
97	0.2171136665
98	0.2163979646
99	0.2160107855
