iter	Passed	Remaining
0	5	561
1	10	498
2	14	470
3	18	454
4	23	443
5	27	435
6	32	428
7	36	423
8	41	419
9	45	413
10	50	407
11	54	401
12	59	396
13	63	391
14	68	386
15	72	381
16	77	376
17	81	371
18	86	367
19	90	362
20	95	357
21	99	353
22	104	349
23	108	344
24	113	340
25	117	335
26	122	331
27	127	326
28	131	322
29	136	318
30	140	313
31	145	309
32	150	305
33	155	301
34	160	297
35	164	292
36	169	288
37	173	283
38	178	279
39	183	274
40	187	270
41	192	265
42	196	261
43	201	256
44	206	251
45	210	247
46	215	242
47	219	238
48	224	233
49	229	229
50	233	224
51	238	219
52	242	215
53	247	210
54	252	206
55	256	201
56	261	197
57	265	192
58	270	187
59	275	183
60	279	178
61	284	174
62	288	169
63	293	165
64	298	160
65	303	156
66	307	151
67	312	146
68	316	142
69	321	137
70	325	133
71	330	128
72	335	123
73	339	119
74	344	114
75	348	110
76	353	105
77	357	100
78	362	96
79	366	91
80	371	87
81	376	82
82	380	77
83	385	73
84	389	68
85	394	64
86	399	59
87	403	55
88	408	50
89	413	45
90	417	41
91	422	36
92	427	32
93	432	27
94	436	22
95	441	18
96	446	13
97	450	9
98	455	4
99	460	0
