iter	RMSE
0	20900.0807
1	15340.36849
2	11266.77239
3	8280.579867
4	6102.777229
5	4520.250119
6	3380.68148
7	2563.36018
8	1990.367556
9	1600.30199
10	1340.686063
11	1179.357872
12	1078.122153
13	1021.589767
14	979.5697614
15	950.9772858
16	936.8588156
17	919.3876702
18	907.5592027
19	905.6841501
20	896.8417573
21	883.2803331
22	876.2354005
23	870.9770534
24	859.1968086
25	855.0662832
26	849.9272716
27	841.8077097
28	838.4189577
29	835.0564009
30	832.2763303
31	828.3322473
32	823.9327932
33	819.9138912
34	814.743501
35	812.6383354
36	812.0028924
37	806.3289105
38	800.8391012
39	798.9380566
40	798.5342995
41	796.2278038
42	794.9296201
43	792.3621635
44	788.4816672
45	785.4060599
46	782.8086342
47	778.0692642
48	776.379837
49	775.8336623
50	773.5419074
51	772.83859
52	771.1702058
53	766.9304001
54	766.2625846
55	759.0781952
56	756.766225
57	754.1898381
58	752.6490221
59	750.7004191
60	749.9436064
61	748.0781002
62	746.3539756
63	745.7061674
64	743.3941501
65	741.6018616
66	740.4945038
67	739.7682255
68	737.8811719
69	734.9271199
70	732.9785909
71	732.1819847
72	731.0191955
73	729.578438
74	729.3641318
75	729.1871055
76	727.9479012
77	727.3000466
78	725.9836731
79	724.801523
80	724.4458053
81	723.181097
82	723.06128
83	721.6608774
84	719.4654999
85	718.7788319
86	718.3879507
87	717.7489786
88	717.4106856
89	715.7801928
90	714.9823376
91	714.8646115
92	713.9494239
93	712.7813978
94	712.0730557
95	711.4685678
96	710.5163906
97	709.4659317
98	708.3532007
99	707.2244755
