iter	Passed	Remaining
0	2	230
1	3	181
2	5	163
3	6	153
4	7	147
5	9	142
6	10	138
7	11	135
8	13	133
9	14	130
10	15	128
11	17	126
12	18	124
13	19	122
14	21	120
15	22	118
16	23	117
17	25	115
18	26	113
19	28	112
20	29	110
21	30	108
22	32	107
23	33	105
24	34	104
25	36	102
26	37	101
27	38	100
28	40	98
29	41	97
30	42	95
31	44	94
32	45	92
33	47	91
34	48	89
35	49	88
36	51	86
37	52	85
38	53	84
39	55	82
40	56	81
41	58	80
42	59	79
43	61	77
44	62	76
45	64	75
46	65	74
47	67	72
48	68	71
49	69	69
50	70	68
51	72	66
52	73	65
53	75	63
54	76	62
55	77	61
56	79	59
57	80	58
58	81	56
59	83	55
60	84	53
61	85	52
62	87	51
63	88	49
64	89	48
65	91	46
66	92	45
67	93	44
68	95	42
69	96	41
70	97	39
71	99	38
72	100	37
73	102	35
74	103	34
75	104	33
76	106	31
77	107	30
78	109	29
79	110	27
80	112	26
81	113	24
82	114	23
83	116	22
84	117	20
85	119	19
86	120	17
87	121	16
88	122	15
89	124	13
90	125	12
91	126	11
92	128	9
93	129	8
94	130	6
95	131	5
96	133	4
97	134	2
98	135	1
99	137	0
