iter	RMSE
0	0.8853827379
1	0.817613717
2	0.76770662
3	0.7297302709
4	0.7080280963
5	0.6914151028
6	0.6824144286
7	0.67454288
8	0.669807883
9	0.6693238101
10	0.6657513716
11	0.6641519157
12	0.6612469537
13	0.6576109448
14	0.6513284653
15	0.6496269037
16	0.6487454854
17	0.6475161146
18	0.6436021089
19	0.6383522243
20	0.6378553082
21	0.6321872562
22	0.6309307948
23	0.6304355754
24	0.6298881807
25	0.6281741458
26	0.6267286176
27	0.6260524461
28	0.6250991569
29	0.624570448
30	0.6230790588
31	0.6222241858
32	0.621427705
33	0.6174860086
34	0.6132477596
35	0.6123876418
36	0.6114231058
37	0.6111021021
38	0.6108216554
39	0.6104478507
40	0.6097186565
41	0.6095405704
42	0.6088077642
43	0.6072246632
44	0.6056333526
45	0.6053593335
46	0.6047917369
47	0.6038449494
48	0.6036290882
49	0.603367645
50	0.6030844674
51	0.6006812556
52	0.5996976983
53	0.5987462229
54	0.5982608504
55	0.5972413236
56	0.59609962
57	0.5938354211
58	0.5933543917
59	0.5932221539
60	0.5916621195
61	0.5912765948
62	0.5906891557
63	0.5906770252
64	0.5900040829
65	0.5897254332
66	0.5892374793
67	0.5890922528
68	0.5887884884
69	0.5884363797
70	0.588279244
71	0.586400151
72	0.5860324503
73	0.5853449505
74	0.5853433894
75	0.5846930106
76	0.5845616918
77	0.584139525
78	0.5837138971
79	0.5829333236
80	0.582902917
81	0.5815964479
82	0.581094754
83	0.5808617737
84	0.5808267637
85	0.5776578054
86	0.5774094969
87	0.5772312176
88	0.5769350104
89	0.5754457138
90	0.5752760036
91	0.574907672
92	0.5745921932
93	0.5734312716
94	0.5731672393
95	0.5729899942
96	0.5725558246
97	0.5722693888
98	0.5721615582
99	0.5719827843
