iter	Passed	Remaining
0	4	454
1	9	453
2	13	443
3	17	422
4	21	405
5	24	383
6	28	380
7	32	376
8	35	362
9	40	360
10	43	351
11	47	347
12	50	339
13	54	336
14	58	329
15	62	328
16	65	321
17	69	318
18	74	315
19	77	311
20	81	307
21	86	305
22	89	299
23	93	295
24	96	289
25	100	286
26	104	281
27	107	275
28	110	270
29	114	266
30	116	259
31	120	256
32	124	252
33	127	247
34	131	244
35	134	239
36	139	236
37	142	232
38	146	228
39	149	224
40	152	219
41	154	213
42	158	209
43	162	206
44	166	203
45	169	199
46	173	195
47	177	192
48	181	188
49	185	185
50	186	179
51	190	176
52	194	172
53	198	168
54	202	165
55	206	162
56	210	158
57	213	154
58	217	151
59	219	146
60	223	142
61	226	138
62	230	135
63	233	131
64	237	127
65	241	124
66	244	120
67	248	116
68	252	113
69	255	109
70	259	106
71	263	102
72	267	98
73	268	94
74	271	90
75	274	86
76	278	83
77	282	79
78	285	75
79	288	72
80	292	68
81	296	65
82	299	61
83	303	57
