iter	RMSE
0	0.7822380233
1	0.6171362534
2	0.5063861265
3	0.4342193954
4	0.3800499963
5	0.350745565
6	0.3243262825
7	0.3044131399
8	0.2883160192
9	0.2757972487
10	0.2676626194
11	0.2592134068
12	0.2526929496
13	0.2481641132
14	0.2430904231
15	0.2389228862
16	0.2333222691
17	0.2279217197
18	0.2250252088
19	0.2227518808
20	0.2169360986
21	0.2156318143
22	0.2124364887
23	0.2094172905
24	0.2079168099
25	0.2037895571
26	0.2003546689
27	0.1989641549
28	0.1958570203
29	0.1913911784
30	0.1899389067
31	0.1860874642
32	0.1823645854
33	0.180353464
34	0.1781077331
35	0.1747214412
36	0.1733669345
37	0.170684076
38	0.1689271055
39	0.1679398773
40	0.1645286076
41	0.1633166345
42	0.1598204291
43	0.1587631774
44	0.1559557246
45	0.1525190605
46	0.1499938185
47	0.1470539875
48	0.1445685261
49	0.1424942163
50	0.1405195008
51	0.1392365875
52	0.1378717294
53	0.1354479866
54	0.134576511
55	0.132080203
56	0.1298248521
57	0.1264608364
