iter	Passed	Remaining
0	4	412
1	7	346
2	10	323
3	12	310
4	15	301
5	18	292
6	21	287
7	24	281
8	27	277
9	30	273
10	33	268
11	36	265
12	38	260
13	40	249
14	43	244
15	45	239
16	48	237
17	51	234
18	54	232
19	57	229
20	60	226
21	63	224
22	66	221
23	69	218
24	71	215
25	74	212
26	77	210
27	80	207
28	83	204
29	86	201
30	89	198
31	92	195
32	95	193
33	97	190
34	100	187
35	103	184
36	106	181
37	109	178
38	112	176
39	115	173
40	118	170
41	121	167
42	124	164
43	126	161
44	129	158
45	132	155
46	135	152
47	138	149
48	141	147
49	144	144
50	147	141
51	149	138
52	152	135
53	155	132
54	158	129
55	161	126
56	164	123
57	167	121
58	170	118
59	172	115
60	175	112
61	178	109
62	181	106
63	184	103
64	187	100
65	190	97
66	193	95
67	196	92
68	198	89
69	201	86
70	204	83
71	207	80
72	210	77
73	213	74
74	216	72
75	219	69
76	222	66
77	225	63
78	227	60
79	230	57
80	232	54
81	235	51
82	238	48
83	241	46
84	244	43
85	247	40
86	250	37
87	253	34
88	256	31
89	259	28
90	262	25
91	265	23
92	267	20
93	270	17
94	273	14
95	276	11
96	279	8
97	282	5
98	285	2
99	288	0
