iter	RMSE
0	2.436528748
1	2.257681295
2	2.137730201
3	2.059246625
4	2.012817158
5	1.980165192
6	1.959122988
7	1.941835223
8	1.923404319
9	1.907651056
10	1.891908565
11	1.882262161
12	1.866363729
13	1.850493637
14	1.844820547
15	1.833965335
16	1.821704797
17	1.812943335
18	1.800993979
19	1.782127077
20	1.773697339
21	1.761690773
22	1.75318215
23	1.740418178
24	1.72519025
25	1.715260076
26	1.707665752
27	1.705480174
28	1.693588344
29	1.683448482
30	1.674533925
31	1.66451314
32	1.656619583
33	1.650342237
34	1.645845799
35	1.626421727
36	1.615692902
37	1.611591745
38	1.607558891
39	1.600805888
40	1.598285531
41	1.59174863
42	1.588543589
43	1.581765855
44	1.579936387
45	1.572436705
46	1.570437603
47	1.568760553
48	1.566419832
49	1.562609746
50	1.559677934
51	1.55420045
52	1.54125318
53	1.535258491
54	1.528323618
55	1.523038774
56	1.521372315
57	1.519868624
58	1.51368077
59	1.512143147
60	1.511098891
61	1.501439616
62	1.496423076
63	1.492543478
64	1.484664065
65	1.483483349
66	1.474701469
67	1.473908154
68	1.471139384
69	1.466249451
70	1.460839087
71	1.45808275
72	1.449188181
73	1.446972328
74	1.441177669
75	1.43656652
76	1.432331021
77	1.430327843
78	1.42254434
79	1.418614993
80	1.416751841
81	1.411417782
82	1.410289282
83	1.405206627
84	1.402912456
85	1.396213957
86	1.391448261
87	1.387447835
88	1.386075144
89	1.385241057
90	1.381665244
91	1.379920983
92	1.37690351
93	1.373381321
94	1.370363655
95	1.36431327
96	1.361952829
97	1.359375593
98	1.354922597
99	1.353241653
