iter	Passed	Remaining
0	36	3600
1	72	3575
2	109	3554
3	145	3501
4	181	3456
5	218	3420
6	249	3314
7	281	3235
8	312	3162
9	344	3103
10	378	3059
11	410	3012
12	442	2964
13	475	2918
14	506	2869
15	538	2824
16	571	2792
17	603	2751
18	636	2712
19	669	2678
20	702	2641
21	734	2603
22	766	2567
23	799	2532
24	833	2499
25	865	2462
26	897	2427
27	929	2389
28	961	2354
29	993	2319
30	1027	2286
31	1061	2254
32	1094	2221
33	1126	2186
34	1159	2153
35	1194	2123
36	1227	2089
37	1259	2054
38	1291	2020
39	1324	1986
40	1356	1951
41	1388	1917
42	1418	1880
43	1452	1848
44	1483	1813
45	1515	1779
46	1546	1743
47	1578	1709
48	1608	1673
49	1639	1639
50	1672	1606
51	1705	1573
52	1739	1542
53	1772	1510
54	1805	1477
55	1838	1444
56	1870	1411
57	1901	1376
58	1933	1343
59	1964	1309
60	1995	1275
61	2029	1244
62	2062	1211
63	2093	1177
64	2128	1146
65	2159	1112
66	2193	1080
67	2224	1046
68	2255	1013
69	2288	980
70	2320	947
71	2353	915
72	2386	882
73	2417	849
74	2450	816
75	2483	784
76	2516	751
77	2547	718
78	2581	686
79	2613	653
80	2645	620
81	2679	588
82	2710	555
83	2742	522
84	2775	489
85	2808	457
86	2842	424
87	2874	391
88	2905	359
89	2936	326
90	2968	293
91	3000	260
92	3033	228
93	3065	195
94	3097	163
95	3130	130
96	3163	97
97	3196	65
98	3229	32
99	3261	0
