iter	RMSE
0	2153.594883
1	1979.786456
2	1852.435958
3	1750.516585
4	1681.817209
5	1628.803348
6	1588.255213
7	1561.98432
8	1542.677394
9	1528.932593
10	1496.460969
11	1475.814842
12	1431.612416
13	1397.48405
14	1373.776701
15	1356.665443
16	1332.784188
17	1322.700163
18	1303.048288
19	1284.440847
20	1263.039371
21	1243.943873
22	1233.03653
23	1213.008831
24	1204.143224
25	1193.375959
26	1176.5936
27	1161.836507
28	1151.93313
29	1139.509053
30	1128.867916
31	1121.509045
32	1111.888974
33	1103.60745
34	1096.213922
35	1085.687953
36	1079.105588
37	1069.970998
38	1068.109401
39	1060.743496
40	1050.729315
41	1047.348088
42	1037.989227
43	1034.377937
44	1024.588101
45	1015.694442
46	1007.440701
47	999.4853632
48	995.6434261
49	988.6185472
50	985.614982
51	978.890943
52	972.0011212
53	966.3216976
54	960.2253842
55	953.9924589
56	947.7687971
57	941.8838477
58	939.5298732
59	930.9686151
60	926.0548329
61	921.849785
62	917.9995895
63	913.1350171
64	906.3135203
65	902.6646544
66	895.7802008
67	887.4694328
68	882.597484
69	879.4598078
70	874.3619388
71	872.8294951
72	868.0041141
73	861.8620623
74	856.7622774
75	850.490791
76	846.9518817
77	841.5627699
78	839.8412272
79	834.5657484
80	831.2507496
81	825.8223833
82	823.5384665
83	819.0173256
84	817.7603632
85	815.2064342
86	811.9718136
87	808.2766351
88	802.5280346
89	798.9583073
90	797.7556925
91	793.7069587
92	791.9758158
93	787.8178852
94	783.021128
95	779.2674672
96	776.8959119
97	772.8086176
98	768.0379822
99	763.851598
