iter	Passed	Remaining
0	4	418
1	7	382
2	11	363
3	14	353
4	18	345
5	21	339
6	25	332
7	28	327
8	31	321
9	35	316
10	38	312
11	42	308
12	45	303
13	48	300
14	52	296
15	55	293
16	59	289
17	64	292
18	67	288
19	71	284
20	74	280
21	77	276
22	81	272
23	84	268
24	88	264
25	91	261
26	95	258
27	99	254
28	102	251
29	106	247
30	109	244
31	113	240
32	116	237
33	120	233
34	125	232
35	128	228
36	132	225
37	135	221
38	139	217
39	142	214
40	146	210
41	149	207
42	153	203
43	157	200
44	160	196
45	164	192
46	167	189
47	171	185
48	174	182
49	178	178
50	182	175
51	186	172
52	190	168
53	194	165
54	197	161
55	201	158
56	204	154
57	208	150
58	211	147
59	215	143
60	219	140
61	222	136
62	226	132
63	229	129
64	233	125
65	237	122
66	240	118
67	244	114
68	248	111
69	252	108
70	255	104
71	259	100
72	263	97
73	266	93
74	270	90
75	273	86
76	276	82
77	280	79
78	283	75
79	287	71
80	291	68
81	294	64
82	298	61
83	301	57
84	305	53
85	309	50
86	313	46
87	317	43
88	320	39
89	324	36
90	327	32
91	331	28
92	334	25
93	338	21
94	341	17
95	345	14
96	349	10
97	352	7
98	356	3
99	359	0
