iter	RMSE
0	0.9843113793
1	0.9526849784
2	0.940263842
3	0.9260658653
4	0.9217220546
5	0.9119082548
6	0.8957191217
7	0.8838737358
8	0.8754556469
9	0.8692863656
10	0.8681315342
11	0.8584794744
12	0.8571657702
13	0.8524506241
14	0.8484170823
15	0.8464906866
16	0.8422586581
17	0.8422107864
18	0.8401626494
19	0.8377539685
20	0.8334276782
21	0.8312508949
22	0.8306538419
23	0.8306453587
24	0.8049220265
25	0.8019901568
26	0.8018310943
27	0.8014583382
28	0.8004733685
29	0.7968705786
30	0.7963978122
31	0.7921421229
32	0.7913997267
33	0.7884615886
34	0.7754646904
35	0.7748532337
36	0.7715882737
37	0.769722456
38	0.7647226773
39	0.7617657682
40	0.7610635662
41	0.7594159653
42	0.7580707892
43	0.7565875909
44	0.7519656666
45	0.7462608945
46	0.7457415874
47	0.7446374622
48	0.7371157822
49	0.7365020178
50	0.7359633707
51	0.7348042489
52	0.7347897921
53	0.7338317954
54	0.732678232
55	0.7322586624
56	0.7320764521
57	0.7318221648
58	0.7310504377
59	0.730157379
60	0.7301554923
61	0.7299447404
62	0.7299030763
63	0.7294936764
64	0.7239984369
65	0.722473378
66	0.7209955051
67	0.7124855412
68	0.7121323081
69	0.7098240966
70	0.708840656
71	0.7082320496
72	0.7054810035
73	0.7050362689
74	0.7045301549
75	0.7038191771
76	0.7036357014
77	0.7023794861
78	0.7020470162
79	0.7013771467
80	0.7006179383
81	0.6988663925
82	0.6987272272
83	0.69605839
84	0.6958941481
85	0.6947509937
86	0.6938593964
87	0.6921920956
88	0.6910686926
89	0.6900290394
90	0.6900253155
91	0.6896144833
92	0.6892179353
93	0.6880297306
94	0.6878974228
95	0.6847313513
96	0.6845751883
97	0.6841308421
98	0.6823825921
99	0.6823228436
100	0.6808421338
101	0.6807638831
102	0.6805479953
103	0.6801545352
104	0.6798476692
105	0.6781517012
106	0.6757126457
107	0.6751650903
108	0.6747193369
109	0.6737141831
110	0.6735695458
111	0.6723984052
112	0.668836876
113	0.6664797203
114	0.6658942596
115	0.6657538523
116	0.6650366326
117	0.6637851111
118	0.6623851861
119	0.6619587205
120	0.6615237306
121	0.6603285184
122	0.6590348148
123	0.6577235839
124	0.6569136639
125	0.6558304914
126	0.6556190808
127	0.6551928609
128	0.654891571
129	0.6546828111
130	0.654549105
131	0.6534128775
132	0.6521812536
133	0.6511285342
134	0.6496420502
135	0.6489043693
136	0.6488513571
137	0.6473056664
138	0.6469882974
139	0.6466418302
140	0.6460140755
141	0.6459081873
142	0.6428682908
143	0.6374327148
144	0.6336973934
145	0.6329840282
146	0.6323666565
147	0.6297738756
148	0.6295410701
149	0.6279819982
150	0.627964618
151	0.6244752164
152	0.6243384781
153	0.6235760468
154	0.6234604842
155	0.6225030612
156	0.6209563097
157	0.6209202597
158	0.6209199184
159	0.6194006063
160	0.6179002598
161	0.6178478887
162	0.6177424258
163	0.6174291253
164	0.6172444549
165	0.6164684802
166	0.6163226801
167	0.6141012855
168	0.613997401
169	0.6130342519
170	0.6129234442
171	0.6126778584
172	0.6117704211
173	0.6116187583
174	0.6110425776
175	0.6110122726
176	0.6108945935
177	0.6089499967
178	0.6089215888
179	0.6066432049
180	0.6056459229
181	0.6055380505
182	0.6051823421
183	0.6045231918
184	0.6038160074
185	0.6031797614
186	0.6031693745
187	0.6019239344
188	0.6015858391
189	0.6013954448
190	0.6010473118
191	0.6008895038
192	0.5994541051
193	0.5992701065
194	0.5991297822
195	0.5986537657
196	0.595278774
197	0.5939548206
198	0.5938563558
199	0.5938009051
200	0.5936553835
201	0.5933376018
202	0.5930037242
203	0.5927872465
204	0.5920237829
205	0.5916532112
206	0.5911553336
207	0.5906370329
208	0.5895350577
209	0.5886339323
210	0.585802642
211	0.5855209565
212	0.585351586
213	0.5850178601
214	0.5848191276
215	0.5839780242
216	0.583581236
217	0.5834439718
218	0.5829562831
219	0.5823710543
220	0.5821493713
221	0.5821144448
222	0.580378679
223	0.5800263353
224	0.57982692
225	0.5782335884
226	0.5779005652
227	0.5778655882
228	0.5777845325
229	0.5773683241
230	0.5770261936
231	0.5768867498
232	0.5768139152
233	0.5767932479
234	0.5760086777
235	0.5759621334
236	0.5755230427
237	0.5752233366
238	0.574870552
239	0.5740833772
240	0.5728924139
241	0.5727286753
242	0.5710376096
243	0.5696609003
244	0.5696053265
245	0.5695603519
246	0.5694435502
247	0.5692437084
248	0.5690920471
249	0.5683368622
250	0.567759287
251	0.5649899838
252	0.5643828164
253	0.5642436283
254	0.5634737182
255	0.563277308
256	0.5627846645
257	0.5627264815
258	0.5625767126
259	0.5625439379
260	0.5618675821
261	0.561549054
262	0.5612775919
263	0.5609295433
264	0.5603962399
265	0.5601698094
266	0.5597365988
267	0.559494182
268	0.5594421204
269	0.5592788017
270	0.5587139578
271	0.5586734647
272	0.5583419647
273	0.5580956195
274	0.5577510948
275	0.5576928142
276	0.5572505472
277	0.5567900162
278	0.5566541168
279	0.5565264906
280	0.5530601353
281	0.5523161008
282	0.5514626042
283	0.55136592
284	0.551258839
285	0.5511457531
286	0.5508849375
287	0.5499481562
288	0.5499305017
289	0.5496024043
290	0.5495444405
291	0.5464011668
292	0.5439247114
293	0.5431216579
294	0.5430490753
295	0.5429544058
296	0.542664123
297	0.5399709716
298	0.5391408768
299	0.5369932847
