iter	Passed	Remaining
0	3	1041
1	5	881
2	8	827
3	10	797
4	13	786
5	15	777
6	18	764
7	20	751
8	23	750
9	25	751
10	28	751
11	31	747
12	33	743
13	36	743
14	38	735
15	41	728
16	43	724
17	45	720
18	48	717
19	51	715
20	53	712
21	56	708
22	58	704
23	61	706
24	64	704
25	66	705
26	69	703
27	72	699
28	74	695
29	76	691
30	79	688
31	82	689
32	84	686
33	87	687
34	90	685
35	93	682
36	95	679
37	98	676
38	100	673
39	103	670
40	105	667
41	108	664
42	110	660
43	113	657
44	115	654
45	118	651
46	120	648
47	122	645
48	125	642
49	127	639
50	130	637
51	133	636
52	136	634
53	139	633
54	141	632
55	144	629
56	146	626
57	149	623
58	151	620
59	154	617
60	156	614
61	159	611
62	161	608
63	164	607
64	167	604
65	169	601
66	171	598
67	174	594
68	176	591
69	178	588
70	181	585
71	183	582
72	186	579
73	188	576
74	191	573
75	193	570
76	196	567
77	198	564
78	201	563
79	203	560
80	206	557
81	209	555
82	211	553
83	213	550
84	216	547
85	218	544
86	221	541
87	223	538
88	226	535
89	228	533
90	231	531
91	233	528
92	236	525
93	238	522
94	240	519
95	243	516
96	245	513
97	248	511
98	250	508
99	252	505
100	255	503
101	257	500
102	260	497
103	262	494
104	264	491
105	267	489
106	269	486
107	272	483
108	274	481
109	277	479
110	280	477
111	282	474
112	285	472
113	288	470
114	291	468
115	293	465
116	295	462
117	298	460
118	301	458
119	304	456
120	306	453
121	309	451
122	312	449
123	314	446
124	317	444
125	319	441
126	322	439
127	325	436
128	327	434
129	330	431
130	332	429
131	334	426
132	337	424
133	340	422
134	343	419
135	345	416
136	348	414
137	350	412
138	353	409
139	355	406
140	358	403
141	360	401
142	363	398
143	365	395
144	367	393
145	370	391
146	373	388
147	375	385
148	377	383
149	380	380
150	382	377
151	385	375
152	387	372
153	390	369
154	392	367
155	395	364
156	398	362
157	400	360
158	402	357
159	405	354
160	407	352
161	410	349
162	412	346
163	415	344
164	417	341
165	419	338
166	422	336
167	424	333
168	426	330
169	429	328
170	431	325
171	434	323
172	436	320
173	438	317
174	441	315
175	443	312
176	446	310
177	449	307
178	451	305
179	453	302
180	456	300
181	459	297
182	461	295
183	464	292
184	466	290
185	469	287
186	471	285
187	474	282
188	476	279
189	479	277
190	481	274
191	483	272
192	486	269
193	488	267
194	491	264
195	494	262
196	497	259
197	499	257
198	502	254
199	504	252
200	507	249
201	509	247
202	512	244
203	514	242
204	517	239
205	519	237
206	522	234
207	525	232
208	527	229
209	530	227
210	532	224
211	534	221
212	536	219
213	539	216
214	541	214
215	544	211
216	547	209
217	549	206
218	551	204
219	554	201
220	556	199
221	559	196
222	561	193
223	563	191
224	566	188
225	568	186
226	570	183
227	573	181
228	576	178
229	578	176
230	580	173
231	583	170
232	585	168
233	588	165
234	590	163
235	592	160
236	595	158
237	597	155
238	599	153
239	602	150
240	604	148
241	606	145
242	609	142
243	611	140
244	614	137
245	616	135
246	619	132
247	621	130
248	623	127
249	626	125
250	628	122
251	631	120
252	633	117
253	635	115
254	638	112
255	640	110
256	643	107
257	645	105
258	648	102
259	650	100
260	653	97
261	656	95
262	658	92
263	660	90
264	663	87
265	665	85
266	668	82
267	670	80
268	673	77
269	675	75
270	677	72
271	680	70
272	682	67
273	685	65
274	688	62
275	690	60
276	692	57
277	695	55
278	698	52
279	700	50
280	702	47
281	705	45
282	707	42
283	710	40
284	712	37
285	715	35
286	717	32
287	720	30
288	722	27
289	725	25
290	727	22
291	729	19
292	732	17
293	734	14
294	736	12
295	739	9
296	741	7
297	744	4
298	746	2
299	749	0
