iter	Passed	Remaining
0	0	68
1	1	49
2	1	48
3	1	41
4	2	38
5	2	38
6	2	36
7	3	35
8	3	33
9	3	32
10	3	31
11	4	30
12	4	29
13	4	28
14	4	27
15	5	26
16	5	26
17	5	25
18	5	25
19	6	24
20	6	24
21	6	23
22	6	23
23	7	22
24	7	22
25	7	22
26	7	21
27	8	21
28	8	20
29	8	20
30	9	20
31	9	19
32	9	19
33	9	19
34	10	18
35	10	18
36	10	18
37	10	17
38	11	17
39	11	17
40	11	16
41	11	16
42	12	16
43	12	15
44	12	15
45	12	15
46	13	14
47	13	14
48	13	14
49	14	14
50	14	13
51	14	13
52	14	13
53	15	12
54	15	12
55	15	12
56	15	12
57	16	11
58	16	11
59	16	11
60	16	10
61	17	10
62	17	10
63	17	9
64	17	9
65	18	9
66	18	9
67	18	8
68	18	8
69	19	8
70	19	7
71	19	7
72	19	7
73	19	7
74	20	6
75	20	6
76	20	6
77	20	5
78	21	5
79	21	5
80	21	5
81	22	4
82	22	4
83	22	4
84	22	4
85	23	3
86	23	3
87	23	3
88	23	2
89	24	2
90	24	2
91	24	2
