y_true_class, y_pred_class, y_pred_cont
5.000000000000000000e+00,4.000000000000000000e+00,1.130769230769230838e+01
3.000000000000000000e+00,4.000000000000000000e+00,1.130769230769230838e+01
2.000000000000000000e+00,2.000000000000000000e+00,6.590322580645160855e+00
2.000000000000000000e+00,4.000000000000000000e+00,1.130769230769230838e+01
3.000000000000000000e+00,4.000000000000000000e+00,1.130769230769230838e+01
2.000000000000000000e+00,2.000000000000000000e+00,6.590322580645160855e+00
5.000000000000000000e+00,4.000000000000000000e+00,1.130769230769230838e+01
3.000000000000000000e+00,4.000000000000000000e+00,1.130769230769230838e+01
5.000000000000000000e+00,4.000000000000000000e+00,1.130769230769230838e+01
3.000000000000000000e+00,4.000000000000000000e+00,1.130769230769230838e+01
3.000000000000000000e+00,2.000000000000000000e+00,6.590322580645160855e+00
3.000000000000000000e+00,4.000000000000000000e+00,1.130769230769230838e+01
3.000000000000000000e+00,4.000000000000000000e+00,1.130769230769230838e+01
4.000000000000000000e+00,4.000000000000000000e+00,1.130769230769230838e+01
4.000000000000000000e+00,4.000000000000000000e+00,1.130769230769230838e+01
3.000000000000000000e+00,4.000000000000000000e+00,1.130769230769230838e+01
3.000000000000000000e+00,4.000000000000000000e+00,1.130769230769230838e+01
4.000000000000000000e+00,4.000000000000000000e+00,1.130769230769230838e+01
3.000000000000000000e+00,4.000000000000000000e+00,1.130769230769230838e+01
3.000000000000000000e+00,2.000000000000000000e+00,6.590322580645160855e+00
5.000000000000000000e+00,4.000000000000000000e+00,1.130769230769230838e+01
5.000000000000000000e+00,4.000000000000000000e+00,1.130769230769230838e+01
3.000000000000000000e+00,4.000000000000000000e+00,1.130769230769230838e+01
2.000000000000000000e+00,2.000000000000000000e+00,6.590322580645160855e+00
5.000000000000000000e+00,2.000000000000000000e+00,6.590322580645160855e+00
2.000000000000000000e+00,2.000000000000000000e+00,6.590322580645160855e+00
1.000000000000000000e+01,4.000000000000000000e+00,1.130769230769230838e+01
5.000000000000000000e+00,4.000000000000000000e+00,1.130769230769230838e+01
1.000000000000000000e+00,1.000000000000000000e+00,4.547619047619047450e+00
3.000000000000000000e+00,4.000000000000000000e+00,1.130769230769230838e+01
1.000000000000000000e+00,2.000000000000000000e+00,6.590322580645160855e+00
4.000000000000000000e+00,4.000000000000000000e+00,1.130769230769230838e+01
2.000000000000000000e+00,2.000000000000000000e+00,6.590322580645160855e+00
3.000000000000000000e+00,4.000000000000000000e+00,1.130769230769230838e+01
4.000000000000000000e+00,2.000000000000000000e+00,6.590322580645160855e+00
3.000000000000000000e+00,4.000000000000000000e+00,1.130769230769230838e+01
2.000000000000000000e+00,4.000000000000000000e+00,1.130769230769230838e+01
4.000000000000000000e+00,4.000000000000000000e+00,1.130769230769230838e+01
1.000000000000000000e+00,2.000000000000000000e+00,6.590322580645160855e+00
6.000000000000000000e+00,4.000000000000000000e+00,1.130769230769230838e+01
3.000000000000000000e+00,4.000000000000000000e+00,1.130769230769230838e+01
3.000000000000000000e+00,2.000000000000000000e+00,6.590322580645160855e+00
