y_true_class, y_pred_class, y_pred_cont
3.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
4.000000000000000000e+00,5.000000000000000000e+00,3.546875000000000000e+01
1.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
1.000000000000000000e+00,1.000000000000000000e+00,1.331621621621621543e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
7.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
3.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
2.000000000000000000e+00,1.000000000000000000e+00,1.331621621621621543e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.043749999999999289e+00
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
2.000000000000000000e+00,1.000000000000000000e+00,1.331621621621621543e+01
1.000000000000000000e+00,0.000000000000000000e+00,8.043749999999999289e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.043749999999999289e+00
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
7.000000000000000000e+00,5.000000000000000000e+00,3.546875000000000000e+01
3.000000000000000000e+00,5.000000000000000000e+00,3.546875000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+00,1.331621621621621543e+01
1.000000000000000000e+00,5.000000000000000000e+00,3.546875000000000000e+01
1.000000000000000000e+00,0.000000000000000000e+00,8.043749999999999289e+00
7.000000000000000000e+00,5.000000000000000000e+00,3.546875000000000000e+01
1.000000000000000000e+00,0.000000000000000000e+00,8.043749999999999289e+00
6.000000000000000000e+00,6.000000000000000000e+00,4.325000000000000000e+01
3.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
7.000000000000000000e+00,7.000000000000000000e+00,4.687999999999999545e+01
4.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
3.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
3.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
3.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
3.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
1.000000000000000000e+00,0.000000000000000000e+00,8.043749999999999289e+00
3.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
3.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
1.000000000000000000e+00,1.000000000000000000e+00,1.331621621621621543e+01
7.000000000000000000e+00,5.000000000000000000e+00,3.546875000000000000e+01
4.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
3.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.043749999999999289e+00
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
6.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.043749999999999289e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.331621621621621543e+01
4.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
7.000000000000000000e+00,1.000000000000000000e+00,1.331621621621621543e+01
6.000000000000000000e+00,5.000000000000000000e+00,3.546875000000000000e+01
1.000000000000000000e+00,0.000000000000000000e+00,8.043749999999999289e+00
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
1.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.043749999999999289e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.331621621621621543e+01
7.000000000000000000e+00,7.000000000000000000e+00,4.687999999999999545e+01
3.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
1.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.043749999999999289e+00
4.000000000000000000e+00,4.000000000000000000e+00,3.128888888888889142e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
3.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
1.000000000000000000e+00,0.000000000000000000e+00,8.043749999999999289e+00
5.000000000000000000e+00,4.000000000000000000e+00,3.128888888888889142e+01
2.000000000000000000e+00,1.000000000000000000e+00,1.331621621621621543e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
3.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
1.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
5.000000000000000000e+00,4.000000000000000000e+00,3.128888888888889142e+01
5.000000000000000000e+00,5.000000000000000000e+00,3.546875000000000000e+01
3.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.043749999999999289e+00
3.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
2.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
4.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
2.000000000000000000e+00,1.000000000000000000e+00,1.331621621621621543e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.043749999999999289e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.331621621621621543e+01
1.000000000000000000e+00,0.000000000000000000e+00,8.043749999999999289e+00
3.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
2.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
3.000000000000000000e+00,5.000000000000000000e+00,3.546875000000000000e+01
1.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
1.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.043749999999999289e+00
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.043749999999999289e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.331621621621621543e+01
4.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
3.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
4.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
4.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.043749999999999289e+00
4.000000000000000000e+00,5.000000000000000000e+00,3.546875000000000000e+01
2.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
4.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
4.000000000000000000e+00,5.000000000000000000e+00,3.546875000000000000e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
1.000000000000000000e+00,0.000000000000000000e+00,8.043749999999999289e+00
6.000000000000000000e+00,7.000000000000000000e+00,4.687999999999999545e+01
7.000000000000000000e+00,6.000000000000000000e+00,4.325000000000000000e+01
3.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
3.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
3.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
1.000000000000000000e+00,1.000000000000000000e+00,1.331621621621621543e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
7.000000000000000000e+00,6.000000000000000000e+00,4.325000000000000000e+01
2.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
3.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
4.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
4.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
1.000000000000000000e+00,1.000000000000000000e+00,1.331621621621621543e+01
7.000000000000000000e+00,5.000000000000000000e+00,3.546875000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+00,1.331621621621621543e+01
0.000000000000000000e+00,1.000000000000000000e+00,1.331621621621621543e+01
4.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
2.000000000000000000e+00,1.000000000000000000e+00,1.331621621621621543e+01
3.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
1.000000000000000000e+00,1.000000000000000000e+00,1.331621621621621543e+01
3.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
3.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
2.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
4.000000000000000000e+00,4.000000000000000000e+00,3.128888888888889142e+01
7.000000000000000000e+00,6.000000000000000000e+00,4.325000000000000000e+01
4.000000000000000000e+00,0.000000000000000000e+00,8.043749999999999289e+00
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
4.000000000000000000e+00,1.000000000000000000e+00,1.331621621621621543e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
1.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
7.000000000000000000e+00,5.000000000000000000e+00,3.546875000000000000e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
3.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
3.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
3.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
1.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
3.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
5.000000000000000000e+00,4.000000000000000000e+00,3.128888888888889142e+01
4.000000000000000000e+00,4.000000000000000000e+00,3.128888888888889142e+01
1.000000000000000000e+00,1.000000000000000000e+00,1.331621621621621543e+01
3.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
1.000000000000000000e+00,0.000000000000000000e+00,8.043749999999999289e+00
3.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
3.000000000000000000e+00,4.000000000000000000e+00,3.128888888888889142e+01
1.000000000000000000e+00,1.000000000000000000e+00,1.331621621621621543e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
2.000000000000000000e+00,1.000000000000000000e+00,1.331621621621621543e+01
4.000000000000000000e+00,5.000000000000000000e+00,3.546875000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+00,1.331621621621621543e+01
3.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
4.000000000000000000e+00,5.000000000000000000e+00,3.546875000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+00,1.331621621621621543e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
1.000000000000000000e+00,1.000000000000000000e+00,1.331621621621621543e+01
4.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
3.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
4.000000000000000000e+00,4.000000000000000000e+00,3.128888888888889142e+01
1.000000000000000000e+00,0.000000000000000000e+00,8.043749999999999289e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.043749999999999289e+00
3.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
7.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
3.000000000000000000e+00,2.000000000000000000e+00,1.963253012048192758e+01
3.000000000000000000e+00,3.000000000000000000e+00,2.383703703703703525e+01
