y_true_class, y_pred_class, y_pred_cont
3.800000000000000000e+01,6.300000000000000000e+01,7.396851215686274372e+03
3.600000000000000000e+01,3.700000000000000000e+01,4.365923749999999927e+03
3.900000000000000000e+01,6.300000000000000000e+01,7.396851215686274372e+03
4.200000000000000000e+01,3.600000000000000000e+01,4.251345042527339501e+03
3.300000000000000000e+01,4.000000000000000000e+01,4.717706012578616537e+03
9.000000000000000000e+00,1.000000000000000000e+01,1.223881013311600100e+03
8.000000000000000000e+00,1.000000000000000000e+01,1.223881013311600100e+03
1.190000000000000000e+02,6.300000000000000000e+01,7.396851215686274372e+03
2.800000000000000000e+01,1.400000000000000000e+01,1.688576101119782606e+03
4.000000000000000000e+01,5.500000000000000000e+01,6.457219058823528940e+03
7.400000000000000000e+01,4.100000000000000000e+01,4.831048181818181547e+03
1.200000000000000000e+01,1.400000000000000000e+01,1.688576101119782606e+03
1.700000000000000000e+01,3.000000000000000000e+00,4.123989029535864574e+02
3.200000000000000000e+01,3.700000000000000000e+01,4.365923749999999927e+03
2.900000000000000000e+01,4.000000000000000000e+01,4.717706012578616537e+03
2.100000000000000000e+01,1.400000000000000000e+01,1.688576101119782606e+03
1.500000000000000000e+02,6.300000000000000000e+01,7.396851215686274372e+03
3.600000000000000000e+01,1.410000000000000000e+02,1.646768714285714304e+04
8.700000000000000000e+01,6.300000000000000000e+01,7.396851215686274372e+03
8.000000000000000000e+00,2.200000000000000000e+01,2.620988143483022668e+03
6.000000000000000000e+00,1.000000000000000000e+01,1.223881013311600100e+03
3.100000000000000000e+01,3.600000000000000000e+01,4.251345042527339501e+03
9.000000000000000000e+00,1.100000000000000000e+01,1.338158441558441609e+03
5.100000000000000000e+01,5.300000000000000000e+01,6.228856674057649798e+03
1.000000000000000000e+01,3.000000000000000000e+00,4.123989029535864574e+02
2.900000000000000000e+01,3.700000000000000000e+01,4.365923749999999927e+03
1.700000000000000000e+01,1.400000000000000000e+01,1.688576101119782606e+03
1.500000000000000000e+01,2.200000000000000000e+01,2.620988143483022668e+03
5.400000000000000000e+01,7.000000000000000000e+01,8.203332388888889909e+03
8.000000000000000000e+00,1.000000000000000000e+01,1.223881013311600100e+03
2.600000000000000000e+01,6.300000000000000000e+01,7.396851215686274372e+03
2.200000000000000000e+01,1.400000000000000000e+01,1.688576101119782606e+03
2.400000000000000000e+01,3.700000000000000000e+01,4.365923749999999927e+03
4.900000000000000000e+01,6.400000000000000000e+01,7.510842570093458562e+03
2.800000000000000000e+01,6.400000000000000000e+01,7.510842570093458562e+03
1.300000000000000000e+01,1.410000000000000000e+02,1.646768714285714304e+04
1.600000000000000000e+01,5.000000000000000000e+00,6.432707865168539456e+02
1.900000000000000000e+01,1.400000000000000000e+01,1.688576101119782606e+03
9.000000000000000000e+00,3.000000000000000000e+00,4.123989029535864574e+02
1.400000000000000000e+01,1.000000000000000000e+01,1.223881013311600100e+03
9.000000000000000000e+00,3.600000000000000000e+01,4.251345042527339501e+03
6.000000000000000000e+00,2.500000000000000000e+01,2.967818408769448524e+03
5.300000000000000000e+01,1.000000000000000000e+02,1.170548114285714291e+04
3.200000000000000000e+01,2.500000000000000000e+01,2.967818408769448524e+03
6.000000000000000000e+00,3.000000000000000000e+00,4.123989029535864574e+02
9.300000000000000000e+01,1.580000000000000000e+02,1.842727333333333445e+04
1.500000000000000000e+01,4.100000000000000000e+01,4.831048181818181547e+03
1.400000000000000000e+01,3.700000000000000000e+01,4.365923749999999927e+03
9.000000000000000000e+00,2.200000000000000000e+01,2.620988143483022668e+03
3.300000000000000000e+01,2.500000000000000000e+01,2.967818408769448524e+03
2.300000000000000000e+01,1.400000000000000000e+01,1.688576101119782606e+03
7.100000000000000000e+01,5.300000000000000000e+01,6.228856674057649798e+03
3.000000000000000000e+00,3.000000000000000000e+00,4.123989029535864574e+02
2.300000000000000000e+01,4.100000000000000000e+01,4.831048181818181547e+03
3.200000000000000000e+01,1.400000000000000000e+01,1.688576101119782606e+03
2.900000000000000000e+01,6.300000000000000000e+01,7.396851215686274372e+03
1.300000000000000000e+01,1.400000000000000000e+01,1.688576101119782606e+03
4.500000000000000000e+01,2.500000000000000000e+01,2.967818408769448524e+03
