y_true_class, y_pred_class, y_pred_cont
3.500000000000000000e+01,3.500000000000000000e+01,1.281194693877551072e+04
4.300000000000000000e+01,4.900000000000000000e+01,1.894426307922272099e+04
1.000000000000000000e+01,1.700000000000000000e+01,6.459140049140049086e+03
4.000000000000000000e+00,9.000000000000000000e+00,3.548839628123184411e+03
2.600000000000000000e+01,3.500000000000000000e+01,1.281194693877551072e+04
1.900000000000000000e+01,1.400000000000000000e+01,5.319424266773804447e+03
4.100000000000000000e+01,4.100000000000000000e+01,1.530102499999999964e+04
4.100000000000000000e+01,5.100000000000000000e+01,1.952403368832862543e+04
4.300000000000000000e+01,3.100000000000000000e+01,1.145681551976573974e+04
5.100000000000000000e+01,5.200000000000000000e+01,1.990008849557522262e+04
5.100000000000000000e+01,3.200000000000000000e+01,1.171980697005582806e+04
4.200000000000000000e+01,1.200000000000000000e+01,4.533676991150442518e+03
1.400000000000000000e+01,1.400000000000000000e+01,5.319424266773804447e+03
7.000000000000000000e+00,3.000000000000000000e+01,1.096145907172995794e+04
2.900000000000000000e+01,3.700000000000000000e+01,1.348499029982363390e+04
3.200000000000000000e+01,3.200000000000000000e+01,1.171980697005582806e+04
2.100000000000000000e+01,1.100000000000000000e+01,4.260362659503021860e+03
1.400000000000000000e+01,9.000000000000000000e+00,3.548839628123184411e+03
1.900000000000000000e+01,1.900000000000000000e+01,7.057984909827015144e+03
4.100000000000000000e+01,5.100000000000000000e+01,1.952403368832862543e+04
5.000000000000000000e+01,3.100000000000000000e+01,1.145681551976573974e+04
2.200000000000000000e+01,1.600000000000000000e+01,6.036049633848657322e+03
1.600000000000000000e+01,1.600000000000000000e+01,6.036049633848657322e+03
3.300000000000000000e+01,3.100000000000000000e+01,1.145681551976573974e+04
9.000000000000000000e+00,1.700000000000000000e+01,6.459140049140049086e+03
2.100000000000000000e+01,4.900000000000000000e+01,1.894426307922272099e+04
2.900000000000000000e+01,1.500000000000000000e+01,5.727440203562340685e+03
5.000000000000000000e+01,5.000000000000000000e+01,1.916943059125963919e+04
3.100000000000000000e+01,4.100000000000000000e+01,1.530102499999999964e+04
3.100000000000000000e+01,5.100000000000000000e+01,1.952403368832862543e+04
3.200000000000000000e+01,5.000000000000000000e+01,1.916943059125963919e+04
4.300000000000000000e+01,3.500000000000000000e+01,1.281194693877551072e+04
2.200000000000000000e+01,1.600000000000000000e+01,6.036049633848657322e+03
3.100000000000000000e+01,3.100000000000000000e+01,1.145681551976573974e+04
4.100000000000000000e+01,4.900000000000000000e+01,1.894426307922272099e+04
5.100000000000000000e+01,3.100000000000000000e+01,1.145681551976573974e+04
5.100000000000000000e+01,4.100000000000000000e+01,1.530102499999999964e+04
3.600000000000000000e+01,1.700000000000000000e+01,6.459140049140049086e+03
1.900000000000000000e+01,2.400000000000000000e+01,8.801667660208644520e+03
1.400000000000000000e+01,1.400000000000000000e+01,5.319424266773804447e+03
1.900000000000000000e+01,1.400000000000000000e+01,5.319424266773804447e+03
7.000000000000000000e+00,7.000000000000000000e+00,2.819472404115996142e+03
3.200000000000000000e+01,4.900000000000000000e+01,1.894426307922272099e+04
5.000000000000000000e+01,3.100000000000000000e+01,1.145681551976573974e+04
3.300000000000000000e+01,5.100000000000000000e+01,1.952403368832862543e+04
4.200000000000000000e+01,5.100000000000000000e+01,1.952403368832862543e+04
