y_true_class, y_pred_class, y_pred_cont
8.000000000000000000e+00,7.000000000000000000e+00,2.018888888888888999e+01
1.200000000000000000e+01,1.400000000000000000e+01,3.433333333333333570e+01
4.000000000000000000e+00,5.000000000000000000e+00,1.613333333333333286e+01
4.000000000000000000e+00,1.000000000000000000e+00,8.349999999999999645e+00
7.000000000000000000e+00,4.000000000000000000e+00,1.415000000000000036e+01
2.000000000000000000e+01,8.000000000000000000e+00,2.251521739130435051e+01
9.000000000000000000e+00,9.000000000000000000e+00,2.443333333333333357e+01
6.000000000000000000e+00,4.000000000000000000e+00,1.415000000000000036e+01
5.000000000000000000e+00,7.000000000000000000e+00,2.018888888888888999e+01
0.000000000000000000e+00,0.000000000000000000e+00,5.299999999999999822e+00
7.000000000000000000e+00,8.000000000000000000e+00,2.251521739130435051e+01
5.000000000000000000e+00,5.000000000000000000e+00,1.613333333333333286e+01
4.000000000000000000e+00,1.000000000000000000e+00,8.349999999999999645e+00
2.000000000000000000e+00,1.000000000000000000e+00,8.349999999999999645e+00
7.000000000000000000e+00,7.000000000000000000e+00,2.018888888888888999e+01
2.000000000000000000e+01,1.500000000000000000e+01,3.651999999999999602e+01
8.000000000000000000e+00,9.000000000000000000e+00,2.443333333333333357e+01
3.000000000000000000e+00,4.000000000000000000e+00,1.415000000000000036e+01
4.000000000000000000e+00,1.000000000000000000e+00,8.349999999999999645e+00
3.000000000000000000e+00,0.000000000000000000e+00,5.299999999999999822e+00
2.000000000000000000e+01,1.900000000000000000e+01,4.539999999999999858e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.349999999999999645e+00
1.900000000000000000e+01,1.400000000000000000e+01,3.433333333333333570e+01
9.000000000000000000e+00,9.000000000000000000e+00,2.443333333333333357e+01
2.000000000000000000e+01,1.900000000000000000e+01,4.539999999999999858e+01
1.200000000000000000e+01,1.100000000000000000e+01,2.859999999999999787e+01
8.000000000000000000e+00,8.000000000000000000e+00,2.251521739130435051e+01
8.000000000000000000e+00,6.000000000000000000e+00,1.831212121212121247e+01
5.000000000000000000e+00,5.000000000000000000e+00,1.613333333333333286e+01
6.000000000000000000e+00,8.000000000000000000e+00,2.251521739130435051e+01
8.000000000000000000e+00,9.000000000000000000e+00,2.443333333333333357e+01
7.000000000000000000e+00,9.000000000000000000e+00,2.443333333333333357e+01
9.000000000000000000e+00,1.500000000000000000e+01,3.651999999999999602e+01
8.000000000000000000e+00,9.000000000000000000e+00,2.443333333333333357e+01
4.000000000000000000e+00,1.000000000000000000e+00,8.349999999999999645e+00
9.000000000000000000e+00,1.100000000000000000e+01,2.859999999999999787e+01
9.000000000000000000e+00,1.100000000000000000e+01,2.859999999999999787e+01
3.000000000000000000e+00,4.000000000000000000e+00,1.415000000000000036e+01
2.000000000000000000e+01,1.900000000000000000e+01,4.539999999999999858e+01
1.100000000000000000e+01,1.000000000000000000e+01,2.680000000000000071e+01
8.000000000000000000e+00,9.000000000000000000e+00,2.443333333333333357e+01
1.000000000000000000e+00,0.000000000000000000e+00,5.299999999999999822e+00
6.000000000000000000e+00,6.000000000000000000e+00,1.831212121212121247e+01
7.000000000000000000e+00,8.000000000000000000e+00,2.251521739130435051e+01
1.700000000000000000e+01,1.100000000000000000e+01,2.859999999999999787e+01
1.000000000000000000e+00,1.000000000000000000e+00,8.349999999999999645e+00
4.000000000000000000e+00,4.000000000000000000e+00,1.415000000000000036e+01
1.100000000000000000e+01,1.200000000000000000e+01,3.071249999999999858e+01
2.000000000000000000e+01,6.000000000000000000e+00,1.831212121212121247e+01
1.800000000000000000e+01,1.500000000000000000e+01,3.651999999999999602e+01
