y_true_class, y_pred_class, y_pred_cont
2.000000000000000000e+00,2.000000000000000000e+00,1.040352558895207039e+03
2.000000000000000000e+00,1.000000000000000000e+00,7.659050223769269223e+02
1.000000000000000000e+00,0.000000000000000000e+00,5.255335836462244288e+02
6.000000000000000000e+00,6.000000000000000000e+00,2.213750000000000000e+03
1.500000000000000000e+01,1.500000000000000000e+01,4.805416526138279551e+03
2.000000000000000000e+00,2.000000000000000000e+00,1.040352558895207039e+03
1.000000000000000000e+00,1.000000000000000000e+00,7.659050223769269223e+02
3.300000000000000000e+01,3.600000000000000000e+01,1.089396551724137862e+04
0.000000000000000000e+00,0.000000000000000000e+00,5.255335836462244288e+02
1.000000000000000000e+01,9.000000000000000000e+00,3.075925203252032588e+03
1.000000000000000000e+00,2.000000000000000000e+00,1.040352558895207039e+03
1.000000000000000000e+00,1.000000000000000000e+00,7.659050223769269223e+02
2.000000000000000000e+00,3.000000000000000000e+00,1.327982020547945240e+03
5.200000000000000000e+01,6.200000000000000000e+01,1.837922222222222263e+04
2.000000000000000000e+00,2.000000000000000000e+00,1.040352558895207039e+03
1.000000000000000000e+01,9.000000000000000000e+00,3.075925203252032588e+03
1.000000000000000000e+00,1.000000000000000000e+00,7.659050223769269223e+02
5.000000000000000000e+00,5.000000000000000000e+00,1.913982543640897802e+03
7.000000000000000000e+00,7.000000000000000000e+00,2.490125902992775991e+03
1.700000000000000000e+01,1.900000000000000000e+01,5.975686956521739376e+03
3.000000000000000000e+00,2.000000000000000000e+00,1.040352558895207039e+03
5.000000000000000000e+00,5.000000000000000000e+00,1.913982543640897802e+03
2.000000000000000000e+00,2.000000000000000000e+00,1.040352558895207039e+03
6.000000000000000000e+00,6.000000000000000000e+00,2.213750000000000000e+03
4.900000000000000000e+01,5.300000000000000000e+01,1.576783544303797498e+04
3.000000000000000000e+00,3.000000000000000000e+00,1.327982020547945240e+03
4.800000000000000000e+01,4.600000000000000000e+01,1.376140659340659295e+04
2.000000000000000000e+00,2.000000000000000000e+00,1.040352558895207039e+03
1.000000000000000000e+00,1.000000000000000000e+00,7.659050223769269223e+02
1.000000000000000000e+00,1.000000000000000000e+00,7.659050223769269223e+02
2.000000000000000000e+00,2.000000000000000000e+00,1.040352558895207039e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.255335836462244288e+02
2.000000000000000000e+00,2.000000000000000000e+00,1.040352558895207039e+03
2.300000000000000000e+01,2.300000000000000000e+01,7.119944206008583933e+03
4.000000000000000000e+00,5.000000000000000000e+00,1.913982543640897802e+03
1.000000000000000000e+00,2.000000000000000000e+00,1.040352558895207039e+03
8.000000000000000000e+00,9.000000000000000000e+00,3.075925203252032588e+03
4.000000000000000000e+01,4.100000000000000000e+01,1.233548148148148175e+04
1.000000000000000000e+00,2.000000000000000000e+00,1.040352558895207039e+03
1.000000000000000000e+00,2.000000000000000000e+00,1.040352558895207039e+03
1.000000000000000000e+00,1.000000000000000000e+00,7.659050223769269223e+02
0.000000000000000000e+00,0.000000000000000000e+00,5.255335836462244288e+02
2.000000000000000000e+00,3.000000000000000000e+00,1.327982020547945240e+03
3.700000000000000000e+01,3.500000000000000000e+01,1.058600694444444525e+04
9.000000000000000000e+00,8.000000000000000000e+00,2.793078740157480297e+03
5.000000000000000000e+00,6.000000000000000000e+00,2.213750000000000000e+03
1.300000000000000000e+01,1.200000000000000000e+01,3.950651122625215976e+03
2.000000000000000000e+00,2.000000000000000000e+00,1.040352558895207039e+03
4.100000000000000000e+01,4.000000000000000000e+01,1.205403703703703650e+04
1.000000000000000000e+00,2.000000000000000000e+00,1.040352558895207039e+03
6.000000000000000000e+00,6.000000000000000000e+00,2.213750000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.255335836462244288e+02
1.000000000000000000e+00,2.000000000000000000e+00,1.040352558895207039e+03
2.600000000000000000e+01,2.400000000000000000e+01,7.416071428571428442e+03
2.000000000000000000e+00,2.000000000000000000e+00,1.040352558895207039e+03
0.000000000000000000e+00,1.000000000000000000e+00,7.659050223769269223e+02
3.000000000000000000e+00,5.000000000000000000e+00,1.913982543640897802e+03
9.000000000000000000e+00,1.100000000000000000e+01,3.668890625000000000e+03
1.500000000000000000e+01,1.500000000000000000e+01,4.805416526138279551e+03
3.500000000000000000e+01,3.400000000000000000e+01,1.028931746031746115e+04
1.000000000000000000e+00,0.000000000000000000e+00,5.255335836462244288e+02
2.100000000000000000e+01,2.100000000000000000e+01,6.551925465838508899e+03
1.000000000000000000e+00,1.000000000000000000e+00,7.659050223769269223e+02
1.100000000000000000e+01,1.200000000000000000e+01,3.950651122625215976e+03
