y_true_class, y_pred_class, y_pred_cont
0.000000000000000000e+00,0.000000000000000000e+00,9.344712746783625335e+01
1.100000000000000000e+01,1.000000000000000000e+00,6.802722116279069269e+02
1.100000000000000000e+01,1.100000000000000000e+01,7.202718249391010613e+04
0.000000000000000000e+00,6.000000000000000000e+00,2.735234742500000266e+03
2.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
1.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,4.000000000000000000e+00,1.992114573333333283e+03
0.000000000000000000e+00,4.000000000000000000e+00,1.992114573333333283e+03
0.000000000000000000e+00,5.000000000000000000e+00,2.363932042857143188e+03
3.000000000000000000e+00,1.300000000000000000e+01,7.325204833333332499e+04
0.000000000000000000e+00,6.000000000000000000e+00,2.735234742500000266e+03
1.000000000000000000e+00,4.000000000000000000e+00,1.992114573333333283e+03
0.000000000000000000e+00,4.000000000000000000e+00,1.992114573333333283e+03
1.100000000000000000e+01,1.000000000000000000e+00,6.802722116279069269e+02
1.100000000000000000e+01,4.000000000000000000e+00,1.992114573333333283e+03
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,0.000000000000000000e+00,9.344712746783625335e+01
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,6.000000000000000000e+00,2.735234742500000266e+03
0.000000000000000000e+00,1.300000000000000000e+01,7.325204833333332499e+04
0.000000000000000000e+00,0.000000000000000000e+00,9.344712746783625335e+01
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,4.000000000000000000e+00,1.992114573333333283e+03
0.000000000000000000e+00,6.000000000000000000e+00,2.735234742500000266e+03
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
1.100000000000000000e+01,1.100000000000000000e+01,7.202718249391010613e+04
5.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
1.100000000000000000e+01,4.000000000000000000e+00,1.992114573333333283e+03
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
1.100000000000000000e+01,1.000000000000000000e+00,6.802722116279069269e+02
1.100000000000000000e+01,6.000000000000000000e+00,2.735234742500000266e+03
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,0.000000000000000000e+00,9.344712746783625335e+01
2.000000000000000000e+00,1.100000000000000000e+01,7.202718249391010613e+04
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,1.300000000000000000e+01,7.325204833333332499e+04
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,0.000000000000000000e+00,9.344712746783625335e+01
0.000000000000000000e+00,0.000000000000000000e+00,9.344712746783625335e+01
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,5.000000000000000000e+00,2.363932042857143188e+03
0.000000000000000000e+00,3.000000000000000000e+00,1.558580680000000029e+03
1.100000000000000000e+01,1.100000000000000000e+01,7.202718249391010613e+04
0.000000000000000000e+00,6.000000000000000000e+00,2.735234742500000266e+03
0.000000000000000000e+00,5.000000000000000000e+00,2.363932042857143188e+03
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,6.000000000000000000e+00,2.735234742500000266e+03
0.000000000000000000e+00,6.000000000000000000e+00,2.735234742500000266e+03
1.100000000000000000e+01,5.000000000000000000e+00,2.363932042857143188e+03
0.000000000000000000e+00,0.000000000000000000e+00,9.344712746783625335e+01
0.000000000000000000e+00,1.100000000000000000e+01,7.202718249391010613e+04
0.000000000000000000e+00,0.000000000000000000e+00,9.344712746783625335e+01
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
1.100000000000000000e+01,1.000000000000000000e+00,6.802722116279069269e+02
1.000000000000000000e+01,4.000000000000000000e+00,1.992114573333333283e+03
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,6.000000000000000000e+00,2.735234742500000266e+03
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,2.000000000000000000e+00,1.053650082941176379e+03
1.100000000000000000e+01,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
1.000000000000000000e+00,4.000000000000000000e+00,1.992114573333333283e+03
1.000000000000000000e+00,2.000000000000000000e+00,1.053650082941176379e+03
0.000000000000000000e+00,0.000000000000000000e+00,9.344712746783625335e+01
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,4.000000000000000000e+00,1.992114573333333283e+03
1.100000000000000000e+01,0.000000000000000000e+00,9.344712746783625335e+01
0.000000000000000000e+00,6.000000000000000000e+00,2.735234742500000266e+03
0.000000000000000000e+00,4.000000000000000000e+00,1.992114573333333283e+03
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,0.000000000000000000e+00,9.344712746783625335e+01
0.000000000000000000e+00,5.000000000000000000e+00,2.363932042857143188e+03
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,3.000000000000000000e+00,1.558580680000000029e+03
1.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
1.000000000000000000e+00,0.000000000000000000e+00,9.344712746783625335e+01
0.000000000000000000e+00,8.000000000000000000e+00,3.898604092499999751e+03
0.000000000000000000e+00,6.000000000000000000e+00,2.735234742500000266e+03
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,0.000000000000000000e+00,9.344712746783625335e+01
0.000000000000000000e+00,5.000000000000000000e+00,2.363932042857143188e+03
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
1.100000000000000000e+01,4.000000000000000000e+00,1.992114573333333283e+03
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
3.000000000000000000e+00,6.000000000000000000e+00,2.735234742500000266e+03
9.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
1.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
9.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,2.000000000000000000e+00,1.053650082941176379e+03
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,0.000000000000000000e+00,9.344712746783625335e+01
0.000000000000000000e+00,6.000000000000000000e+00,2.735234742500000266e+03
0.000000000000000000e+00,0.000000000000000000e+00,9.344712746783625335e+01
1.000000000000000000e+00,3.000000000000000000e+00,1.558580680000000029e+03
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,9.000000000000000000e+00,4.862622599999999693e+03
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
1.100000000000000000e+01,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,1.000000000000000000e+00,6.802722116279069269e+02
0.000000000000000000e+00,1.100000000000000000e+01,7.202718249391010613e+04
5.000000000000000000e+00,8.000000000000000000e+00,3.898604092499999751e+03
