y_true_class, y_pred_class, y_pred_cont
0.000000000000000000e+00,4.000000000000000000e+00,5.000942657952070476e+03
0.000000000000000000e+00,1.000000000000000000e+00,1.494631153846153893e+03
0.000000000000000000e+00,0.000000000000000000e+00,9.843030903351954919e+01
0.000000000000000000e+00,3.000000000000000000e+00,3.527522857142856992e+03
0.000000000000000000e+00,0.000000000000000000e+00,9.843030903351954919e+01
0.000000000000000000e+00,0.000000000000000000e+00,9.843030903351954919e+01
0.000000000000000000e+00,2.000000000000000000e+00,2.550764166666666824e+03
0.000000000000000000e+00,0.000000000000000000e+00,9.843030903351954919e+01
4.000000000000000000e+00,0.000000000000000000e+00,9.843030903351954919e+01
0.000000000000000000e+00,2.000000000000000000e+00,2.550764166666666824e+03
4.000000000000000000e+00,4.000000000000000000e+00,5.000942657952070476e+03
4.000000000000000000e+00,4.000000000000000000e+00,5.000942657952070476e+03
4.000000000000000000e+00,4.000000000000000000e+00,5.000942657952070476e+03
0.000000000000000000e+00,0.000000000000000000e+00,9.843030903351954919e+01
4.000000000000000000e+00,2.000000000000000000e+00,2.550764166666666824e+03
4.000000000000000000e+00,0.000000000000000000e+00,9.843030903351954919e+01
2.000000000000000000e+00,1.000000000000000000e+00,1.494631153846153893e+03
0.000000000000000000e+00,4.000000000000000000e+00,5.000942657952070476e+03
4.000000000000000000e+00,3.000000000000000000e+00,3.527522857142856992e+03
4.000000000000000000e+00,1.000000000000000000e+00,1.494631153846153893e+03
4.000000000000000000e+00,3.000000000000000000e+00,3.527522857142856992e+03
1.000000000000000000e+00,4.000000000000000000e+00,5.000942657952070476e+03
0.000000000000000000e+00,0.000000000000000000e+00,9.843030903351954919e+01
0.000000000000000000e+00,4.000000000000000000e+00,5.000942657952070476e+03
4.000000000000000000e+00,4.000000000000000000e+00,5.000942657952070476e+03
4.000000000000000000e+00,3.000000000000000000e+00,3.527522857142856992e+03
4.000000000000000000e+00,4.000000000000000000e+00,5.000942657952070476e+03
0.000000000000000000e+00,0.000000000000000000e+00,9.843030903351954919e+01
4.000000000000000000e+00,0.000000000000000000e+00,9.843030903351954919e+01
4.000000000000000000e+00,4.000000000000000000e+00,5.000942657952070476e+03
1.000000000000000000e+00,0.000000000000000000e+00,9.843030903351954919e+01
4.000000000000000000e+00,0.000000000000000000e+00,9.843030903351954919e+01
4.000000000000000000e+00,4.000000000000000000e+00,5.000942657952070476e+03
0.000000000000000000e+00,4.000000000000000000e+00,5.000942657952070476e+03
4.000000000000000000e+00,4.000000000000000000e+00,5.000942657952070476e+03
0.000000000000000000e+00,0.000000000000000000e+00,9.843030903351954919e+01
0.000000000000000000e+00,4.000000000000000000e+00,5.000942657952070476e+03
0.000000000000000000e+00,4.000000000000000000e+00,5.000942657952070476e+03
0.000000000000000000e+00,0.000000000000000000e+00,9.843030903351954919e+01
