y_true_class, y_pred_class, y_pred_cont
6.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
3.000000000000000000e+01,2.900000000000000000e+01,1.838000000000000398e+02
1.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
2.100000000000000000e+01,2.900000000000000000e+01,1.838000000000000398e+02
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
2.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
2.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
1.700000000000000000e+01,1.800000000000000000e+01,8.359999999999999432e+01
6.000000000000000000e+00,7.000000000000000000e+00,3.164166666666666572e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
4.000000000000000000e+00,1.800000000000000000e+01,8.359999999999999432e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
2.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
2.600000000000000000e+01,2.700000000000000000e+01,1.720000000000000000e+02
7.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
9.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
1.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
3.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
7.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
2.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
6.000000000000000000e+00,7.000000000000000000e+00,3.164166666666666572e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
1.300000000000000000e+01,7.000000000000000000e+00,3.164166666666666572e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
2.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
6.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
2.000000000000000000e+00,7.000000000000000000e+00,3.164166666666666572e+01
1.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
2.000000000000000000e+00,7.000000000000000000e+00,3.164166666666666572e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
1.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
1.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
2.100000000000000000e+01,2.700000000000000000e+01,1.720000000000000000e+02
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
1.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
2.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
4.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
1.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
2.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
2.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
1.200000000000000000e+01,7.000000000000000000e+00,3.164166666666666572e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
1.500000000000000000e+01,2.000000000000000000e+01,9.790000000000000568e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
2.000000000000000000e+00,7.000000000000000000e+00,3.164166666666666572e+01
1.000000000000000000e+01,1.100000000000000000e+01,4.768750000000000000e+01
8.000000000000000000e+00,1.100000000000000000e+01,4.768750000000000000e+01
3.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
1.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
7.000000000000000000e+00,7.000000000000000000e+00,3.164166666666666572e+01
9.000000000000000000e+00,7.000000000000000000e+00,3.164166666666666572e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
2.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
1.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
1.100000000000000000e+01,1.200000000000000000e+01,5.167999999999999261e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
3.100000000000000000e+01,2.700000000000000000e+01,1.720000000000000000e+02
1.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
1.800000000000000000e+01,2.700000000000000000e+01,1.720000000000000000e+02
7.000000000000000000e+00,7.000000000000000000e+00,3.164166666666666572e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
1.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070234113712374535e+00
