y_true_class, y_pred_class, y_pred_cont
2.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
1.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
4.000000000000000000e+00,3.000000000000000000e+00,2.848688163265305921e+05
2.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
3.000000000000000000e+00,3.000000000000000000e+00,2.848688163265305921e+05
0.000000000000000000e+00,0.000000000000000000e+00,8.231845454545454413e+04
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
0.000000000000000000e+00,0.000000000000000000e+00,8.231845454545454413e+04
1.000000000000000000e+00,0.000000000000000000e+00,8.231845454545454413e+04
2.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
3.000000000000000000e+00,4.000000000000000000e+00,3.539013414634146611e+05
2.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
0.000000000000000000e+00,0.000000000000000000e+00,8.231845454545454413e+04
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
3.000000000000000000e+00,4.000000000000000000e+00,3.539013414634146611e+05
1.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
3.000000000000000000e+00,4.000000000000000000e+00,3.539013414634146611e+05
8.000000000000000000e+00,6.000000000000000000e+00,5.163022000000000116e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
2.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
2.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
3.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
2.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
2.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
3.000000000000000000e+00,4.000000000000000000e+00,3.539013414634146611e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
2.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
3.000000000000000000e+00,3.000000000000000000e+00,2.848688163265305921e+05
2.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
3.000000000000000000e+00,5.000000000000000000e+00,4.128398333333333139e+05
0.000000000000000000e+00,0.000000000000000000e+00,8.231845454545454413e+04
1.000000000000000000e+00,0.000000000000000000e+00,8.231845454545454413e+04
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
0.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,0.000000000000000000e+00,8.231845454545454413e+04
2.000000000000000000e+00,3.000000000000000000e+00,2.848688163265305921e+05
3.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
2.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
2.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
1.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
2.000000000000000000e+00,3.000000000000000000e+00,2.848688163265305921e+05
0.000000000000000000e+00,0.000000000000000000e+00,8.231845454545454413e+04
2.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,0.000000000000000000e+00,8.231845454545454413e+04
0.000000000000000000e+00,0.000000000000000000e+00,8.231845454545454413e+04
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
2.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,0.000000000000000000e+00,8.231845454545454413e+04
4.000000000000000000e+00,4.000000000000000000e+00,3.539013414634146611e+05
2.000000000000000000e+00,3.000000000000000000e+00,2.848688163265305921e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
2.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
3.000000000000000000e+00,5.000000000000000000e+00,4.128398333333333139e+05
0.000000000000000000e+00,0.000000000000000000e+00,8.231845454545454413e+04
1.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
3.000000000000000000e+00,3.000000000000000000e+00,2.848688163265305921e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
3.000000000000000000e+00,5.000000000000000000e+00,4.128398333333333139e+05
1.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
2.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
2.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
3.000000000000000000e+00,3.000000000000000000e+00,2.848688163265305921e+05
4.000000000000000000e+00,4.000000000000000000e+00,3.539013414634146611e+05
1.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
2.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
0.000000000000000000e+00,0.000000000000000000e+00,8.231845454545454413e+04
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
0.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
2.000000000000000000e+00,3.000000000000000000e+00,2.848688163265305921e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
0.000000000000000000e+00,0.000000000000000000e+00,8.231845454545454413e+04
2.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
2.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
2.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
1.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
1.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
4.000000000000000000e+00,4.000000000000000000e+00,3.539013414634146611e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
2.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
0.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
3.000000000000000000e+00,3.000000000000000000e+00,2.848688163265305921e+05
0.000000000000000000e+00,0.000000000000000000e+00,8.231845454545454413e+04
0.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
2.000000000000000000e+00,4.000000000000000000e+00,3.539013414634146611e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
3.000000000000000000e+00,3.000000000000000000e+00,2.848688163265305921e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
2.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
1.000000000000000000e+00,1.000000000000000000e+00,1.419620813008130062e+05
2.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
2.000000000000000000e+00,2.000000000000000000e+00,2.098264082840236661e+05
