y_true_class, y_pred_class, y_pred_cont
6.000000000000000000e+00,6.000000000000000000e+00,7.887356321839080238e+02
6.000000000000000000e+00,7.000000000000000000e+00,8.315581395348837077e+02
5.000000000000000000e+00,4.000000000000000000e+00,7.012539682539683099e+02
1.000000000000000000e+00,2.000000000000000000e+00,6.127017543859649322e+02
7.000000000000000000e+00,7.000000000000000000e+00,8.315581395348837077e+02
3.000000000000000000e+00,4.000000000000000000e+00,7.012539682539683099e+02
4.000000000000000000e+00,4.000000000000000000e+00,7.012539682539683099e+02
5.000000000000000000e+00,6.000000000000000000e+00,7.887356321839080238e+02
4.000000000000000000e+00,4.000000000000000000e+00,7.012539682539683099e+02
7.000000000000000000e+00,9.000000000000000000e+00,9.290000000000000000e+02
4.000000000000000000e+00,3.000000000000000000e+00,6.613030303030302548e+02
8.000000000000000000e+00,7.000000000000000000e+00,8.315581395348837077e+02
5.000000000000000000e+00,4.000000000000000000e+00,7.012539682539683099e+02
0.000000000000000000e+00,1.000000000000000000e+00,5.720000000000000000e+02
6.000000000000000000e+00,5.000000000000000000e+00,7.448673469387755404e+02
7.000000000000000000e+00,7.000000000000000000e+00,8.315581395348837077e+02
0.000000000000000000e+00,1.000000000000000000e+00,5.720000000000000000e+02
5.000000000000000000e+00,5.000000000000000000e+00,7.448673469387755404e+02
3.000000000000000000e+00,3.000000000000000000e+00,6.613030303030302548e+02
3.000000000000000000e+00,2.000000000000000000e+00,6.127017543859649322e+02
7.000000000000000000e+00,8.000000000000000000e+00,8.782352941176470722e+02
3.000000000000000000e+00,3.000000000000000000e+00,6.613030303030302548e+02
1.000000000000000000e+00,2.000000000000000000e+00,6.127017543859649322e+02
2.000000000000000000e+00,2.000000000000000000e+00,6.127017543859649322e+02
4.000000000000000000e+00,4.000000000000000000e+00,7.012539682539683099e+02
4.000000000000000000e+00,4.000000000000000000e+00,7.012539682539683099e+02
8.000000000000000000e+00,9.000000000000000000e+00,9.290000000000000000e+02
3.000000000000000000e+00,2.000000000000000000e+00,6.127017543859649322e+02
3.000000000000000000e+00,3.000000000000000000e+00,6.613030303030302548e+02
2.000000000000000000e+00,1.000000000000000000e+00,5.720000000000000000e+02
2.000000000000000000e+00,2.000000000000000000e+00,6.127017543859649322e+02
5.000000000000000000e+00,5.000000000000000000e+00,7.448673469387755404e+02
5.000000000000000000e+00,5.000000000000000000e+00,7.448673469387755404e+02
5.000000000000000000e+00,7.000000000000000000e+00,8.315581395348837077e+02
2.000000000000000000e+00,3.000000000000000000e+00,6.613030303030302548e+02
5.000000000000000000e+00,5.000000000000000000e+00,7.448673469387755404e+02
2.000000000000000000e+00,3.000000000000000000e+00,6.613030303030302548e+02
6.000000000000000000e+00,6.000000000000000000e+00,7.887356321839080238e+02
7.000000000000000000e+00,9.000000000000000000e+00,9.290000000000000000e+02
3.000000000000000000e+00,3.000000000000000000e+00,6.613030303030302548e+02
6.000000000000000000e+00,7.000000000000000000e+00,8.315581395348837077e+02
3.000000000000000000e+00,3.000000000000000000e+00,6.613030303030302548e+02
2.000000000000000000e+00,2.000000000000000000e+00,6.127017543859649322e+02
5.000000000000000000e+00,4.000000000000000000e+00,7.012539682539683099e+02
4.000000000000000000e+00,4.000000000000000000e+00,7.012539682539683099e+02
2.000000000000000000e+00,2.000000000000000000e+00,6.127017543859649322e+02
6.000000000000000000e+00,6.000000000000000000e+00,7.887356321839080238e+02
9.000000000000000000e+00,9.000000000000000000e+00,9.290000000000000000e+02
5.000000000000000000e+00,6.000000000000000000e+00,7.887356321839080238e+02
