y_true_class, y_pred_class, y_pred_cont
3.000000000000000000e+00,7.000000000000000000e+00,4.750000000000000000e+01
4.000000000000000000e+00,4.000000000000000000e+00,3.093599999999999994e+01
1.000000000000000000e+00,2.000000000000000000e+00,1.948192771084337238e+01
1.000000000000000000e+00,1.000000000000000000e+00,1.409268292682926749e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.948192771084337238e+01
7.000000000000000000e+00,7.000000000000000000e+00,4.750000000000000000e+01
3.000000000000000000e+00,3.000000000000000000e+00,2.392833333333333456e+01
2.000000000000000000e+00,1.000000000000000000e+00,1.409268292682926749e+01
2.000000000000000000e+00,1.000000000000000000e+00,1.409268292682926749e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.099999999999999645e+00
2.000000000000000000e+00,3.000000000000000000e+00,2.392833333333333456e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.948192771084337238e+01
1.000000000000000000e+00,0.000000000000000000e+00,8.099999999999999645e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.099999999999999645e+00
2.000000000000000000e+00,3.000000000000000000e+00,2.392833333333333456e+01
7.000000000000000000e+00,7.000000000000000000e+00,4.750000000000000000e+01
3.000000000000000000e+00,3.000000000000000000e+00,2.392833333333333456e+01
1.000000000000000000e+00,1.000000000000000000e+00,1.409268292682926749e+01
1.000000000000000000e+00,1.000000000000000000e+00,1.409268292682926749e+01
1.000000000000000000e+00,0.000000000000000000e+00,8.099999999999999645e+00
7.000000000000000000e+00,6.000000000000000000e+00,4.310000000000000142e+01
1.000000000000000000e+00,0.000000000000000000e+00,8.099999999999999645e+00
6.000000000000000000e+00,5.000000000000000000e+00,3.546153846153845990e+01
3.000000000000000000e+00,3.000000000000000000e+00,2.392833333333333456e+01
7.000000000000000000e+00,7.000000000000000000e+00,4.750000000000000000e+01
4.000000000000000000e+00,4.000000000000000000e+00,3.093599999999999994e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.948192771084337238e+01
3.000000000000000000e+00,2.000000000000000000e+00,1.948192771084337238e+01
2.000000000000000000e+00,1.000000000000000000e+00,1.409268292682926749e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.948192771084337238e+01
3.000000000000000000e+00,3.000000000000000000e+00,2.392833333333333456e+01
2.000000000000000000e+00,3.000000000000000000e+00,2.392833333333333456e+01
3.000000000000000000e+00,4.000000000000000000e+00,3.093599999999999994e+01
3.000000000000000000e+00,3.000000000000000000e+00,2.392833333333333456e+01
1.000000000000000000e+00,0.000000000000000000e+00,8.099999999999999645e+00
3.000000000000000000e+00,3.000000000000000000e+00,2.392833333333333456e+01
3.000000000000000000e+00,3.000000000000000000e+00,2.392833333333333456e+01
1.000000000000000000e+00,0.000000000000000000e+00,8.099999999999999645e+00
7.000000000000000000e+00,6.000000000000000000e+00,4.310000000000000142e+01
4.000000000000000000e+00,7.000000000000000000e+00,4.750000000000000000e+01
3.000000000000000000e+00,3.000000000000000000e+00,2.392833333333333456e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.099999999999999645e+00
2.000000000000000000e+00,2.000000000000000000e+00,1.948192771084337238e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.948192771084337238e+01
6.000000000000000000e+00,7.000000000000000000e+00,4.750000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.099999999999999645e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.409268292682926749e+01
4.000000000000000000e+00,4.000000000000000000e+00,3.093599999999999994e+01
7.000000000000000000e+00,2.000000000000000000e+00,1.948192771084337238e+01
6.000000000000000000e+00,6.000000000000000000e+00,4.310000000000000142e+01
1.000000000000000000e+00,1.000000000000000000e+00,1.409268292682926749e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.948192771084337238e+01
1.000000000000000000e+00,2.000000000000000000e+00,1.948192771084337238e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.099999999999999645e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.099999999999999645e+00
7.000000000000000000e+00,7.000000000000000000e+00,4.750000000000000000e+01
3.000000000000000000e+00,2.000000000000000000e+00,1.948192771084337238e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.948192771084337238e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.948192771084337238e+01
1.000000000000000000e+00,1.000000000000000000e+00,1.409268292682926749e+01
2.000000000000000000e+00,3.000000000000000000e+00,2.392833333333333456e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.099999999999999645e+00
4.000000000000000000e+00,5.000000000000000000e+00,3.546153846153845990e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.948192771084337238e+01
3.000000000000000000e+00,3.000000000000000000e+00,2.392833333333333456e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.948192771084337238e+01
1.000000000000000000e+00,1.000000000000000000e+00,1.409268292682926749e+01
5.000000000000000000e+00,4.000000000000000000e+00,3.093599999999999994e+01
2.000000000000000000e+00,7.000000000000000000e+00,4.750000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+00,1.409268292682926749e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.948192771084337238e+01
3.000000000000000000e+00,3.000000000000000000e+00,2.392833333333333456e+01
1.000000000000000000e+00,1.000000000000000000e+00,1.409268292682926749e+01
5.000000000000000000e+00,4.000000000000000000e+00,3.093599999999999994e+01
5.000000000000000000e+00,5.000000000000000000e+00,3.546153846153845990e+01
3.000000000000000000e+00,2.000000000000000000e+00,1.948192771084337238e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.099999999999999645e+00
